"","Statistic","Domestic.or.Import.Source","Month","value"
"2563","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2010M08",562.01
"2564","Fat Content (%)","Domestic","2010M08",3.83
"2565","Protein Content (%)","Domestic","2010M08",3.38
"2566","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2010M08",32.4
"2567","Fat Content (%)","Import","2010M08",NA
"2568","Protein Content (%)","Import","2010M08",NA
"2569","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2010M09",490.74
"2570","Fat Content (%)","Domestic","2010M09",4.01
"2571","Protein Content (%)","Domestic","2010M09",3.55
"2572","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2010M09",28.1
"2573","Fat Content (%)","Import","2010M09",NA
"2574","Protein Content (%)","Import","2010M09",NA
"2575","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2010M10",437.04
"2576","Fat Content (%)","Domestic","2010M10",4.18
"2577","Protein Content (%)","Domestic","2010M10",3.73
"2578","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2010M10",27.03
"2579","Fat Content (%)","Import","2010M10",NA
"2580","Protein Content (%)","Import","2010M10",NA
"2581","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2010M11",303.1
"2582","Fat Content (%)","Domestic","2010M11",4.35
"2583","Protein Content (%)","Domestic","2010M11",3.68
"2584","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2010M11",28.2
"2585","Fat Content (%)","Import","2010M11",NA
"2586","Protein Content (%)","Import","2010M11",NA
"2587","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2010M12",176.13
"2588","Fat Content (%)","Domestic","2010M12",4.23
"2589","Protein Content (%)","Domestic","2010M12",3.5
"2590","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2010M12",31.94
"2591","Fat Content (%)","Import","2010M12",NA
"2592","Protein Content (%)","Import","2010M12",NA
"2593","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2011M01",146.7
"2594","Fat Content (%)","Domestic","2011M01",3.99
"2595","Protein Content (%)","Domestic","2011M01",3.32
"2596","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2011M01",28.8
"2597","Fat Content (%)","Import","2011M01",NA
"2598","Protein Content (%)","Import","2011M01",NA
"2599","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2011M02",217.8
"2600","Fat Content (%)","Domestic","2011M02",3.96
"2601","Protein Content (%)","Domestic","2011M02",3.26
"2602","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2011M02",28.5
"2603","Fat Content (%)","Import","2011M02",NA
"2604","Protein Content (%)","Import","2011M02",NA
"2605","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2011M03",448.5
"2606","Fat Content (%)","Domestic","2011M03",3.91
"2607","Protein Content (%)","Domestic","2011M03",3.24
"2608","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2011M03",29.2
"2609","Fat Content (%)","Import","2011M03",NA
"2610","Protein Content (%)","Import","2011M03",NA
"2611","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2011M04",634.5
"2612","Fat Content (%)","Domestic","2011M04",3.72
"2613","Protein Content (%)","Domestic","2011M04",3.28
"2614","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2011M04",32.7
"2615","Fat Content (%)","Import","2011M04",NA
"2616","Protein Content (%)","Import","2011M04",NA
"2617","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2011M05",738
"2618","Fat Content (%)","Domestic","2011M05",3.69
"2619","Protein Content (%)","Domestic","2011M05",3.28
"2620","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2011M05",35.7
"2621","Fat Content (%)","Import","2011M05",NA
"2622","Protein Content (%)","Import","2011M05",NA
"2623","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2011M06",701
"2624","Fat Content (%)","Domestic","2011M06",3.72
"2625","Protein Content (%)","Domestic","2011M06",3.31
"2626","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2011M06",34.8
"2627","Fat Content (%)","Import","2011M06",NA
"2628","Protein Content (%)","Import","2011M06",NA
"2629","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2011M07",669.8
"2630","Fat Content (%)","Domestic","2011M07",3.77
"2631","Protein Content (%)","Domestic","2011M07",3.33
"2632","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2011M07",32.4
"2633","Fat Content (%)","Import","2011M07",NA
"2634","Protein Content (%)","Import","2011M07",NA
"2635","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2011M08",580
"2636","Fat Content (%)","Domestic","2011M08",3.89
"2637","Protein Content (%)","Domestic","2011M08",3.4
"2638","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2011M08",27.7
"2639","Fat Content (%)","Import","2011M08",NA
"2640","Protein Content (%)","Import","2011M08",NA
"2641","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2011M09",483.5
"2642","Fat Content (%)","Domestic","2011M09",4.12
"2643","Protein Content (%)","Domestic","2011M09",3.6
"2644","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2011M09",24.7
"2645","Fat Content (%)","Import","2011M09",NA
"2646","Protein Content (%)","Import","2011M09",NA
"2647","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2011M10",377.7
"2648","Fat Content (%)","Domestic","2011M10",4.33
"2649","Protein Content (%)","Domestic","2011M10",3.69
"2650","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2011M10",26.7
"2651","Fat Content (%)","Import","2011M10",NA
"2652","Protein Content (%)","Import","2011M10",NA
"2653","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2011M11",234.4
"2654","Fat Content (%)","Domestic","2011M11",4.33
"2655","Protein Content (%)","Domestic","2011M11",3.55
"2656","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2011M11",26.8
"2657","Fat Content (%)","Import","2011M11",NA
"2658","Protein Content (%)","Import","2011M11",NA
"2659","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2011M12",145.2
"2660","Fat Content (%)","Domestic","2011M12",4.15
"2661","Protein Content (%)","Domestic","2011M12",3.36
"2662","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2011M12",28.2
"2663","Fat Content (%)","Import","2011M12",NA
"2664","Protein Content (%)","Import","2011M12",NA
"2665","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2012M01",133.3
"2666","Fat Content (%)","Domestic","2012M01",3.98
"2667","Protein Content (%)","Domestic","2012M01",3.25
"2668","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2012M01",32.9
"2669","Fat Content (%)","Import","2012M01",NA
"2670","Protein Content (%)","Import","2012M01",NA
"2671","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2012M02",236.6
"2672","Fat Content (%)","Domestic","2012M02",4.06
"2673","Protein Content (%)","Domestic","2012M02",3.24
"2674","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2012M02",29.8
"2675","Fat Content (%)","Import","2012M02",NA
"2676","Protein Content (%)","Import","2012M02",NA
"2677","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2012M03",473
"2678","Fat Content (%)","Domestic","2012M03",3.99
"2679","Protein Content (%)","Domestic","2012M03",3.22
"2680","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2012M03",32.3
"2681","Fat Content (%)","Import","2012M03",NA
"2682","Protein Content (%)","Import","2012M03",NA
"2683","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2012M04",637.3
"2684","Fat Content (%)","Domestic","2012M04",3.81
"2685","Protein Content (%)","Domestic","2012M04",3.32
"2686","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2012M04",38.9
"2687","Fat Content (%)","Import","2012M04",NA
"2688","Protein Content (%)","Import","2012M04",NA
"2689","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2012M05",735
"2690","Fat Content (%)","Domestic","2012M05",3.75
"2691","Protein Content (%)","Domestic","2012M05",3.34
"2692","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2012M05",42.3
"2693","Fat Content (%)","Import","2012M05",NA
"2694","Protein Content (%)","Import","2012M05",NA
"2695","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2012M06",684.3
"2696","Fat Content (%)","Domestic","2012M06",3.76
"2697","Protein Content (%)","Domestic","2012M06",3.33
"2698","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2012M06",40.5
"2699","Fat Content (%)","Import","2012M06",NA
"2700","Protein Content (%)","Import","2012M06",NA
"2701","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2012M07",609.8
"2702","Fat Content (%)","Domestic","2012M07",3.85
"2703","Protein Content (%)","Domestic","2012M07",3.25
"2704","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2012M07",39.7
"2705","Fat Content (%)","Import","2012M07",NA
"2706","Protein Content (%)","Import","2012M07",NA
"2707","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2012M08",546.8
"2708","Fat Content (%)","Domestic","2012M08",3.94
"2709","Protein Content (%)","Domestic","2012M08",3.34
"2710","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2012M08",29.5
"2711","Fat Content (%)","Import","2012M08",NA
"2712","Protein Content (%)","Import","2012M08",NA
"2713","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2012M09",446.6
"2714","Fat Content (%)","Domestic","2012M09",4.13
"2715","Protein Content (%)","Domestic","2012M09",3.53
"2716","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2012M09",26.7
"2717","Fat Content (%)","Import","2012M09",NA
"2718","Protein Content (%)","Import","2012M09",NA
"2719","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2012M10",364.2
"2720","Fat Content (%)","Domestic","2012M10",4.34
"2721","Protein Content (%)","Domestic","2012M10",3.72
"2722","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2012M10",28.3
"2723","Fat Content (%)","Import","2012M10",NA
"2724","Protein Content (%)","Import","2012M10",NA
"2725","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2012M11",227.6
"2726","Fat Content (%)","Domestic","2012M11",4.38
"2727","Protein Content (%)","Domestic","2012M11",3.61
"2728","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2012M11",33.9
"2729","Fat Content (%)","Import","2012M11",NA
"2730","Protein Content (%)","Import","2012M11",NA
"2731","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2012M12",138
"2732","Fat Content (%)","Domestic","2012M12",4.14
"2733","Protein Content (%)","Domestic","2012M12",3.37
"2734","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2012M12",31.1
"2735","Fat Content (%)","Import","2012M12",NA
"2736","Protein Content (%)","Import","2012M12",NA
"2737","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2013M01",125.5
"2738","Fat Content (%)","Domestic","2013M01",4
"2739","Protein Content (%)","Domestic","2013M01",3.26
"2740","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2013M01",34.1
"2741","Fat Content (%)","Import","2013M01",NA
"2742","Protein Content (%)","Import","2013M01",NA
"2743","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2013M02",222.9
"2744","Fat Content (%)","Domestic","2013M02",4.03
"2745","Protein Content (%)","Domestic","2013M02",3.25
"2746","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2013M02",35
"2747","Fat Content (%)","Import","2013M02",NA
"2748","Protein Content (%)","Import","2013M02",NA
"2749","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2013M03",468.1
"2750","Fat Content (%)","Domestic","2013M03",3.97
"2751","Protein Content (%)","Domestic","2013M03",3.18
"2752","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2013M03",37.1
"2753","Fat Content (%)","Import","2013M03",NA
"2754","Protein Content (%)","Import","2013M03",NA
"2755","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2013M04",568.7
"2756","Fat Content (%)","Domestic","2013M04",3.86
"2757","Protein Content (%)","Domestic","2013M04",3.19
"2758","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2013M04",37.7
"2759","Fat Content (%)","Import","2013M04",NA
"2760","Protein Content (%)","Import","2013M04",NA
"2761","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2013M05",733.2
"2762","Fat Content (%)","Domestic","2013M05",3.66
"2763","Protein Content (%)","Domestic","2013M05",3.32
"2764","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2013M05",39.1
"2765","Fat Content (%)","Import","2013M05",NA
"2766","Protein Content (%)","Import","2013M05",NA
"2767","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2013M06",700.9
"2768","Fat Content (%)","Domestic","2013M06",3.71
"2769","Protein Content (%)","Domestic","2013M06",3.36
"2770","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2013M06",39.8
"2771","Fat Content (%)","Import","2013M06",NA
"2772","Protein Content (%)","Import","2013M06",NA
"2773","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2013M07",652.7
"2774","Fat Content (%)","Domestic","2013M07",3.73
"2775","Protein Content (%)","Domestic","2013M07",3.31
"2776","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2013M07",36.9
"2777","Fat Content (%)","Import","2013M07",NA
"2778","Protein Content (%)","Import","2013M07",NA
"2779","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2013M08",592.7
"2780","Fat Content (%)","Domestic","2013M08",3.92
"2781","Protein Content (%)","Domestic","2013M08",3.39
"2782","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2013M08",31.1
"2783","Fat Content (%)","Import","2013M08",NA
"2784","Protein Content (%)","Import","2013M08",NA
"2785","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2013M09",498.5
"2786","Fat Content (%)","Domestic","2013M09",4.16
"2787","Protein Content (%)","Domestic","2013M09",3.62
"2788","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2013M09",26.8
"2789","Fat Content (%)","Import","2013M09",NA
"2790","Protein Content (%)","Import","2013M09",NA
"2791","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2013M10",418.3
"2792","Fat Content (%)","Domestic","2013M10",4.4
"2793","Protein Content (%)","Domestic","2013M10",3.77
"2794","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2013M10",28.3
"2795","Fat Content (%)","Import","2013M10",NA
"2796","Protein Content (%)","Import","2013M10",NA
"2797","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2013M11",276.4
"2798","Fat Content (%)","Domestic","2013M11",4.48
"2799","Protein Content (%)","Domestic","2013M11",3.72
