"","Region","Year","Type.of.Land.Use","value"
"2632","West","1998","Kale and field cabbage",0.1
"2633","South-East (IRL)","1998","Kale and field cabbage",0.5
"2634","South-West (IRL)","1998","Kale and field cabbage",0.3
"2635","State","1999","Kale and field cabbage",1.1
"2636","Midlands and East","1999","Kale and field cabbage",0.1
"2637","North West","1999","Kale and field cabbage",0
"2638","West","1999","Kale and field cabbage",0.1
"2639","South-East (IRL)","1999","Kale and field cabbage",0.4
"2640","South-West (IRL)","1999","Kale and field cabbage",0.4
"2641","State","1980","Vegetables for sale",3.4
"2642","Midlands and East","1980","Vegetables for sale",1.7
"2643","North West","1980","Vegetables for sale",0.1
"2644","West","1980","Vegetables for sale",0.3
"2645","South-East (IRL)","1980","Vegetables for sale",0.6
"2646","South-West (IRL)","1980","Vegetables for sale",0.7
"2647","State","1981","Vegetables for sale",3.2
"2648","Midlands and East","1981","Vegetables for sale",1.6
"2649","North West","1981","Vegetables for sale",0.1
"2650","West","1981","Vegetables for sale",0.3
"2651","South-East (IRL)","1981","Vegetables for sale",0.6
"2652","South-West (IRL)","1981","Vegetables for sale",0.6
"2653","State","1982","Vegetables for sale",3.4
"2654","Midlands and East","1982","Vegetables for sale",1.7
"2655","North West","1982","Vegetables for sale",0.1
"2656","West","1982","Vegetables for sale",0.3
"2657","South-East (IRL)","1982","Vegetables for sale",0.7
"2658","South-West (IRL)","1982","Vegetables for sale",0.7
"2659","State","1983","Vegetables for sale",3.4
"2660","Midlands and East","1983","Vegetables for sale",1.7
"2661","North West","1983","Vegetables for sale",0.1
"2662","West","1983","Vegetables for sale",0.3
"2663","South-East (IRL)","1983","Vegetables for sale",0.6
"2664","South-West (IRL)","1983","Vegetables for sale",0.7
"2665","State","1984","Vegetables for sale",3.3
"2666","Midlands and East","1984","Vegetables for sale",1.7
"2667","North West","1984","Vegetables for sale",0.1
"2668","West","1984","Vegetables for sale",0.3
"2669","South-East (IRL)","1984","Vegetables for sale",0.6
"2670","South-West (IRL)","1984","Vegetables for sale",0.7
"2671","State","1985","Vegetables for sale",3.5
"2672","Midlands and East","1985","Vegetables for sale",1.9
"2673","North West","1985","Vegetables for sale",0.1
"2674","West","1985","Vegetables for sale",0.3
"2675","South-East (IRL)","1985","Vegetables for sale",0.6
"2676","South-West (IRL)","1985","Vegetables for sale",0.6
"2677","State","1986","Vegetables for sale",3.3
"2678","Midlands and East","1986","Vegetables for sale",1.7
"2679","North West","1986","Vegetables for sale",0.1
"2680","West","1986","Vegetables for sale",0.3
"2681","South-East (IRL)","1986","Vegetables for sale",0.5
"2682","South-West (IRL)","1986","Vegetables for sale",0.7
"2683","State","1987","Vegetables for sale",3.7
"2684","Midlands and East","1987","Vegetables for sale",2.2
"2685","North West","1987","Vegetables for sale",0.1
"2686","West","1987","Vegetables for sale",0.2
"2687","South-East (IRL)","1987","Vegetables for sale",0.6
"2688","South-West (IRL)","1987","Vegetables for sale",0.6
"2689","State","1988","Vegetables for sale",3.6
"2690","Midlands and East","1988","Vegetables for sale",2
"2691","North West","1988","Vegetables for sale",0.1
"2692","West","1988","Vegetables for sale",0.1
"2693","South-East (IRL)","1988","Vegetables for sale",0.6
"2694","South-West (IRL)","1988","Vegetables for sale",0.8
"2695","State","1989","Vegetables for sale",4
"2696","Midlands and East","1989","Vegetables for sale",2.2
"2697","North West","1989","Vegetables for sale",0.1
"2698","West","1989","Vegetables for sale",0.1
"2699","South-East (IRL)","1989","Vegetables for sale",0.6
"2700","South-West (IRL)","1989","Vegetables for sale",1
"2701","State","1990","Vegetables for sale",3.8
"2702","Midlands and East","1990","Vegetables for sale",2.2
"2703","North West","1990","Vegetables for sale",0.1
"2704","West","1990","Vegetables for sale",0.1
"2705","South-East (IRL)","1990","Vegetables for sale",0.5
"2706","South-West (IRL)","1990","Vegetables for sale",0.9
"2707","State","1991","Vegetables for sale",4.1
"2708","Midlands and East","1991","Vegetables for sale",2.4
"2709","North West","1991","Vegetables for sale",0
"2710","West","1991","Vegetables for sale",0.1
"2711","South-East (IRL)","1991","Vegetables for sale",0.7
"2712","South-West (IRL)","1991","Vegetables for sale",0.9
"2713","State","1992","Vegetables for sale",4.3
"2714","Midlands and East","1992","Vegetables for sale",2.2
"2715","North West","1992","Vegetables for sale",0.1
"2716","West","1992","Vegetables for sale",0.2
"2717","South-East (IRL)","1992","Vegetables for sale",0.7
"2718","South-West (IRL)","1992","Vegetables for sale",1
"2719","State","1993","Vegetables for sale",4.6
"2720","Midlands and East","1993","Vegetables for sale",2.5
"2721","North West","1993","Vegetables for sale",0.1
"2722","West","1993","Vegetables for sale",0.1
"2723","South-East (IRL)","1993","Vegetables for sale",0.7
"2724","South-West (IRL)","1993","Vegetables for sale",1.2
"2725","State","1994","Vegetables for sale",4.8
"2726","Midlands and East","1994","Vegetables for sale",2.5
"2727","North West","1994","Vegetables for sale",0
"2728","West","1994","Vegetables for sale",0.2
"2729","South-East (IRL)","1994","Vegetables for sale",0.8
"2730","South-West (IRL)","1994","Vegetables for sale",1.3
"2731","State","1995","Vegetables for sale",4.7
"2732","Midlands and East","1995","Vegetables for sale",2.5
"2733","North West","1995","Vegetables for sale",0
"2734","West","1995","Vegetables for sale",0.1
"2735","South-East (IRL)","1995","Vegetables for sale",0.6
"2736","South-West (IRL)","1995","Vegetables for sale",1.4
"2737","State","1996","Vegetables for sale",4.6
"2738","Midlands and East","1996","Vegetables for sale",2.4
"2739","North West","1996","Vegetables for sale",0
"2740","West","1996","Vegetables for sale",0
"2741","South-East (IRL)","1996","Vegetables for sale",0.7
"2742","South-West (IRL)","1996","Vegetables for sale",1.4
"2743","State","1997","Vegetables for sale",4.7
"2744","Midlands and East","1997","Vegetables for sale",2.6
"2745","North West","1997","Vegetables for sale",0.1
"2746","West","1997","Vegetables for sale",0.2
"2747","South-East (IRL)","1997","Vegetables for sale",0.7
"2748","South-West (IRL)","1997","Vegetables for sale",1.3
"2749","State","1998","Vegetables for sale",5.1
"2750","Midlands and East","1998","Vegetables for sale",2.9
"2751","North West","1998","Vegetables for sale",0.1
"2752","West","1998","Vegetables for sale",0.3
"2753","South-East (IRL)","1998","Vegetables for sale",0.7
"2754","South-West (IRL)","1998","Vegetables for sale",1.1
"2755","State","1999","Vegetables for sale",4.5
"2756","Midlands and East","1999","Vegetables for sale",2.8
"2757","North West","1999","Vegetables for sale",0.1
"2758","West","1999","Vegetables for sale",0.1
"2759","South-East (IRL)","1999","Vegetables for sale",0.7
"2760","South-West (IRL)","1999","Vegetables for sale",0.8
"2761","State","1980","Fruit",2
"2762","Midlands and East","1980","Fruit",0.7
"2763","North West","1980","Fruit",0
"2764","West","1980","Fruit",0.1
"2765","South-East (IRL)","1980","Fruit",1
"2766","South-West (IRL)","1980","Fruit",0.2
"2767","State","1981","Fruit",1.7
"2768","Midlands and East","1981","Fruit",0.7
"2769","North West","1981","Fruit",0
"2770","West","1981","Fruit",0
"2771","South-East (IRL)","1981","Fruit",0.9
"2772","South-West (IRL)","1981","Fruit",0.1
"2773","State","1982","Fruit",1.6
"2774","Midlands and East","1982","Fruit",0.6
"2775","North West","1982","Fruit",0
"2776","West","1982","Fruit",0
"2777","South-East (IRL)","1982","Fruit",0.8
"2778","South-West (IRL)","1982","Fruit",0.1
"2779","State","1983","Fruit",1.7
"2780","Midlands and East","1983","Fruit",0.7
"2781","North West","1983","Fruit",0
"2782","West","1983","Fruit",0
"2783","South-East (IRL)","1983","Fruit",0.9
"2784","South-West (IRL)","1983","Fruit",0.1
"2785","State","1984","Fruit",1.6
"2786","Midlands and East","1984","Fruit",0.6
"2787","North West","1984","Fruit",0
"2788","West","1984","Fruit",0
"2789","South-East (IRL)","1984","Fruit",0.9
"2790","South-West (IRL)","1984","Fruit",0.1
"2791","State","1985","Fruit",1.6
"2792","Midlands and East","1985","Fruit",0.6
"2793","North West","1985","Fruit",0
"2794","West","1985","Fruit",0
"2795","South-East (IRL)","1985","Fruit",0.8
"2796","South-West (IRL)","1985","Fruit",0.1
"2797","State","1986","Fruit",1.6
"2798","Midlands and East","1986","Fruit",0.5
"2799","North West","1986","Fruit",0
"2800","West","1986","Fruit",0
"2801","South-East (IRL)","1986","Fruit",0.9
"2802","South-West (IRL)","1986","Fruit",0.1
"2803","State","1987","Fruit",1.5
"2804","Midlands and East","1987","Fruit",0.5
"2805","North West","1987","Fruit",0
"2806","West","1987","Fruit",0
"2807","South-East (IRL)","1987","Fruit",0.9
"2808","South-West (IRL)","1987","Fruit",0.1
"2809","State","1988","Fruit",1.5
"2810","Midlands and East","1988","Fruit",0.5
"2811","North West","1988","Fruit",0
"2812","West","1988","Fruit",0
"2813","South-East (IRL)","1988","Fruit",0.8
"2814","South-West (IRL)","1988","Fruit",0.1
"2815","State","1989","Fruit",1.5
"2816","Midlands and East","1989","Fruit",0.6
"2817","North West","1989","Fruit",0
"2818","West","1989","Fruit",0
"2819","South-East (IRL)","1989","Fruit",0.8
"2820","South-West (IRL)","1989","Fruit",0.1
"2821","State","1990","Fruit",1.5
"2822","Midlands and East","1990","Fruit",0.5
"2823","North West","1990","Fruit",0
"2824","West","1990","Fruit",0
"2825","South-East (IRL)","1990","Fruit",0.8
"2826","South-West (IRL)","1990","Fruit",0.1
"2827","State","1991","Fruit",1.6
"2828","Midlands and East","1991","Fruit",0.6
"2829","North West","1991","Fruit",0
"2830","West","1991","Fruit",0
"2831","South-East (IRL)","1991","Fruit",0.9
"2832","South-West (IRL)","1991","Fruit",0.1
"2833","State","1992","Fruit",1.7
"2834","Midlands and East","1992","Fruit",0.7
"2835","North West","1992","Fruit",0
"2836","West","1992","Fruit",0
"2837","South-East (IRL)","1992","Fruit",0.8
"2838","South-West (IRL)","1992","Fruit",0.1
"2839","State","1993","Fruit",1.6
"2840","Midlands and East","1993","Fruit",0.6
"2841","North West","1993","Fruit",0
"2842","West","1993","Fruit",0
"2843","South-East (IRL)","1993","Fruit",0.9
"2844","South-West (IRL)","1993","Fruit",0.1
"2845","State","1994","Fruit",1.7
"2846","Midlands and East","1994","Fruit",0.6
"2847","North West","1994","Fruit",0
"2848","West","1994","Fruit",0
"2849","South-East (IRL)","1994","Fruit",1
"2850","South-West (IRL)","1994","Fruit",0.1
"2851","State","1995","Fruit",1.6
"2852","Midlands and East","1995","Fruit",0.6
"2853","North West","1995","Fruit",0
"2854","West","1995","Fruit",0
"2855","South-East (IRL)","1995","Fruit",0.9
"2856","South-West (IRL)","1995","Fruit",0.1
"2857","State","1996","Fruit",1.5
"2858","Midlands and East","1996","Fruit",0.6
"2859","North West","1996","Fruit",0
"2860","West","1996","Fruit",0
"2861","South-East (IRL)","1996","Fruit",0.8
"2862","South-West (IRL)","1996","Fruit",0
"2863","State","1997","Fruit",1.7
"2864","Midlands and East","1997","Fruit",0.6
"2865","North West","1997","Fruit",0
"2866","West","1997","Fruit",0
"2867","South-East (IRL)","1997","Fruit",0.9
"2868","South-West (IRL)","1997","Fruit",0.1
"2869","State","1998","Fruit",1.6
"2870","Midlands and East","1998","Fruit",0.6
"2871","North West","1998","Fruit",0
"2872","West","1998","Fruit",0
"2873","South-East (IRL)","1998","Fruit",0.9
"2874","South-West (IRL)","1998","Fruit",0.1
"2875","State","1999","Fruit",1.5
"2876","Midlands and East","1999","Fruit",0.6
"2877","North West","1999","Fruit",0
"2878","West","1999","Fruit",0.1
"2879","South-East (IRL)","1999","Fruit",0.7
"2880","South-West (IRL)","1999","Fruit",0.1
"2881","State","1980","Nurseries, horticulture etc.",0.9
"2882","Midlands and East","1980","Nurseries, horticulture etc.",0.3
"2883","North West","1980","Nurseries, horticulture etc.",0.1
"2884","West","1980","Nurseries, horticulture etc.",0.1
"2885","South-East (IRL)","1980","Nurseries, horticulture etc.",0.3
"2886","South-West (IRL)","1980","Nurseries, horticulture etc.",0.3
"2887","State","1981","Nurseries, horticulture etc.",0.9
"2888","Midlands and East","1981","Nurseries, horticulture etc.",0.2
"2889","North West","1981","Nurseries, horticulture etc.",0.1
"2890","West","1981","Nurseries, horticulture etc.",0.1
"2891","South-East (IRL)","1981","Nurseries, horticulture etc.",0.3
"2892","South-West (IRL)","1981","Nurseries, horticulture etc.",0.2
"2893","State","1982","Nurseries, horticulture etc.",1.1
"2894","Midlands and East","1982","Nurseries, horticulture etc.",0.4
"2895","North West","1982","Nurseries, horticulture etc.",0.1
"2896","West","1982","Nurseries, horticulture etc.",0.1
"2897","South-East (IRL)","1982","Nurseries, horticulture etc.",0.3
"2898","South-West (IRL)","1982","Nurseries, horticulture etc.",0.3
"2899","State","1983","Nurseries, horticulture etc.",1.2
"2900","Midlands and East","1983","Nurseries, horticulture etc.",0.4
"2901","North West","1983","Nurseries, horticulture etc.",0.1
"2902","West","1983","Nurseries, horticulture etc.",0.1
"2903","South-East (IRL)","1983","Nurseries, horticulture etc.",0.3
"2904","South-West (IRL)","1983","Nurseries, horticulture etc.",0.3
"2905","State","1984","Nurseries, horticulture etc.",1.1
"2906","Midlands and East","1984","Nurseries, horticulture etc.",0.4
"2907","North West","1984","Nurseries, horticulture etc.",0.1
"2908","West","1984","Nurseries, horticulture etc.",0.1
"2909","South-East (IRL)","1984","Nurseries, horticulture etc.",0.3
"2910","South-West (IRL)","1984","Nurseries, horticulture etc.",0.3
"2911","State","1985","Nurseries, horticulture etc.",1.1
"2912","Midlands and East","1985","Nurseries, horticulture etc.",0.4
"2913","North West","1985","Nurseries, horticulture etc.",0.1
"2914","West","1985","Nurseries, horticulture etc.",0.1
"2915","South-East (IRL)","1985","Nurseries, horticulture etc.",0.3
"2916","South-West (IRL)","1985","Nurseries, horticulture etc.",0.2
"2917","State","1986","Nurseries, horticulture etc.",1.1
"2918","Midlands and East","1986","Nurseries, horticulture etc.",0.4
"2919","North West","1986","Nurseries, horticulture etc.",0.1
"2920","West","1986","Nurseries, horticulture etc.",0.1
"2921","South-East (IRL)","1986","Nurseries, horticulture etc.",0.3
"2922","South-West (IRL)","1986","Nurseries, horticulture etc.",0.2
"2923","State","1987","Nurseries, horticulture etc.",1.1
"2924","Midlands and East","1987","Nurseries, horticulture etc.",0.4
"2925","North West","1987","Nurseries, horticulture etc.",0.1
"2926","West","1987","Nurseries, horticulture etc.",0.1
"2927","South-East (IRL)","1987","Nurseries, horticulture etc.",0.3
"2928","South-West (IRL)","1987","Nurseries, horticulture etc.",0.2
"2929","State","1988","Nurseries, horticulture etc.",1
"2930","Midlands and East","1988","Nurseries, horticulture etc.",0.4
"2931","North West","1988","Nurseries, horticulture etc.",0
"2932","West","1988","Nurseries, horticulture etc.",0.1
"2933","South-East (IRL)","1988","Nurseries, horticulture etc.",0.3
"2934","South-West (IRL)","1988","Nurseries, horticulture etc.",0.2
"2935","State","1989","Nurseries, horticulture etc.",1
"2936","Midlands and East","1989","Nurseries, horticulture etc.",0.4
"2937","North West","1989","Nurseries, horticulture etc.",0
"2938","West","1989","Nurseries, horticulture etc.",0.1
"2939","South-East (IRL)","1989","Nurseries, horticulture etc.",0.3
"2940","South-West (IRL)","1989","Nurseries, horticulture etc.",0.2
"2941","State","1990","Nurseries, horticulture etc.",1
"2942","Midlands and East","1990","Nurseries, horticulture etc.",0.4
"2943","North West","1990","Nurseries, horticulture etc.",0
"2944","West","1990","Nurseries, horticulture etc.",0.1
"2945","South-East (IRL)","1990","Nurseries, horticulture etc.",0.3
"2946","South-West (IRL)","1990","Nurseries, horticulture etc.",0.2
"2947","State","1991","Nurseries, horticulture etc.",0.8
"2948","Midlands and East","1991","Nurseries, horticulture etc.",0.3
"2949","North West","1991","Nurseries, horticulture etc.",0
"2950","West","1991","Nurseries, horticulture etc.",0.1
"2951","South-East (IRL)","1991","Nurseries, horticulture etc.",0.3
