"","Statistic","Agricultural.Product","Month","value"
"274","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Pigs","2000M04",94.976
"275","Agricultural Input and Output Price Indices (Base 2005=100)","Sheep","2000M04",110.302
"276","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Sheep","2000M04",97.849
"277","Agricultural Input and Output Price Indices (Base 2005=100)","Poultry","2000M04",91.929
"278","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Poultry","2000M04",NA
"279","Agricultural Input and Output Price Indices (Base 2005=100)","Animal products","2000M04",103.316
"280","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal products","2000M04",NA
"281","Agricultural Input and Output Price Indices (Base 2005=100)","Milk","2000M04",103.44
"282","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Milk","2000M04",106.8
"283","Agricultural Input and Output Price Indices (Base 2005=100)","Eggs","2000M04",96.93
"284","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Eggs","2000M04",NA
"285","Agricultural Input and Output Price Indices (Base 2005=100)","Wool","2000M04",99.642
"286","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Wool","2000M04",NA
"287","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural input price index","2000M04",83.328
"288","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural input price index","2000M04",NA
"289","Agricultural Input and Output Price Indices (Base 2005=100)","Seeds","2000M04",86.667
"290","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Seeds","2000M04",NA
"291","Agricultural Input and Output Price Indices (Base 2005=100)","Energy","2000M04",72.573
"292","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Energy","2000M04",NA
"293","Agricultural Input and Output Price Indices (Base 2005=100)","Electricity","2000M04",73.689
"294","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Electricity","2000M04",NA
"295","Agricultural Input and Output Price Indices (Base 2005=100)","Motor fuel","2000M04",71.776
"296","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Motor fuel","2000M04",NA
"297","Agricultural Input and Output Price Indices (Base 2005=100)","Lubricants","2000M04",84.059
"298","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Lubricants","2000M04",NA
"299","Agricultural Input and Output Price Indices (Base 2005=100)","Fertilisers","2000M04",78.391
"300","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Fertilisers","2000M04",NA
"301","Agricultural Input and Output Price Indices (Base 2005=100)","Straight fertilisers","2000M04",72.384
"302","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight fertilisers","2000M04",NA
"303","Agricultural Input and Output Price Indices (Base 2005=100)","Compound fertilisers","2000M04",81.39
"304","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound fertilisers","2000M04",NA
"305","Agricultural Input and Output Price Indices (Base 2005=100)","PK fertilisers","2000M04",89.149
"306","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","PK fertilisers","2000M04",NA
"307","Agricultural Input and Output Price Indices (Base 2005=100)","NPK fertilisers","2000M04",80.888
"308","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","NPK fertilisers","2000M04",NA
"309","Agricultural Input and Output Price Indices (Base 2005=100)","Other fertilisers","2000M04",90.002
"310","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other fertilisers","2000M04",NA
"311","Agricultural Input and Output Price Indices (Base 2005=100)","Plant protection products","2000M04",97.453
"312","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Plant protection products","2000M04",NA
"313","Agricultural Input and Output Price Indices (Base 2005=100)","Veterinary expenses","2000M04",85.228
"314","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Veterinary expenses","2000M04",NA
"315","Agricultural Input and Output Price Indices (Base 2005=100)","Feeding stuffs","2000M04",90.75
"316","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Feeding stuffs","2000M04",NA
"317","Agricultural Input and Output Price Indices (Base 2005=100)","Straight feeding stuffs","2000M04",89.192
"318","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight feeding stuffs","2000M04",NA
"319","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs","2000M04",90.924
"320","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs","2000M04",NA
"321","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for calves","2000M04",93.027
"322","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for calves","2000M04",NA
"323","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2000M04",90.873
"324","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2000M04",NA
"325","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for pigs","2000M04",90.473
"326","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for pigs","2000M04",NA
"327","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for poultry","2000M04",91.074
"328","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for poultry","2000M04",NA
"329","Agricultural Input and Output Price Indices (Base 2005=100)","Other compound feeding stuffs","2000M04",90.924
"330","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other compound feeding stuffs","2000M04",NA
"331","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of materials","2000M04",76.683
"332","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of materials","2000M04",NA
"333","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of buildings","2000M04",77.17
"334","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of buildings","2000M04",NA
"335","Agricultural Input and Output Price Indices (Base 2005=100)","Other goods and services including artificial insemination","2000M04",91.589
"336","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other goods and services including artificial insemination","2000M04",NA
"337","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural output price index","2000M05",98.818
"338","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural output price index","2000M05",97.392
"339","Agricultural Input and Output Price Indices (Base 2005=100)","Crop output","2000M05",90.48
"340","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Crop output","2000M05",NA
"341","Agricultural Input and Output Price Indices (Base 2005=100)","Cereals including seeds","2000M05",108.355
"342","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cereals including seeds","2000M05",NA
"343","Agricultural Input and Output Price Indices (Base 2005=100)","Vegetables","2000M05",87.434
"344","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Vegetables","2000M05",87.221
"345","Agricultural Input and Output Price Indices (Base 2005=100)","Potatoes including seeds","2000M05",66.106
"346","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Potatoes including seeds","2000M05",64.489
"347","Agricultural Input and Output Price Indices (Base 2005=100)","Animal output","2000M05",100.356
"348","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal output","2000M05",NA
"349","Agricultural Input and Output Price Indices (Base 2005=100)","Animals","2000M05",98.119
"350","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animals","2000M05",NA
"351","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle","2000M05",98.376
"352","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle","2000M05",95.275
"353","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle excluding calves","2000M05",98.312
"354","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle excluding calves","2000M05",NA
"355","Agricultural Input and Output Price Indices (Base 2005=100)","Calves","2000M05",103.484
"356","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Calves","2000M05",NA
"357","Agricultural Input and Output Price Indices (Base 2005=100)","Pigs","2000M05",100.081
"358","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Pigs","2000M05",97.524
"359","Agricultural Input and Output Price Indices (Base 2005=100)","Sheep","2000M05",97.435
"360","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Sheep","2000M05",87.528
"361","Agricultural Input and Output Price Indices (Base 2005=100)","Poultry","2000M05",92.862
"362","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Poultry","2000M05",NA
"363","Agricultural Input and Output Price Indices (Base 2005=100)","Animal products","2000M05",103.918
"364","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal products","2000M05",NA
"365","Agricultural Input and Output Price Indices (Base 2005=100)","Milk","2000M05",103.996
"366","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Milk","2000M05",106.593
"367","Agricultural Input and Output Price Indices (Base 2005=100)","Eggs","2000M05",96.263
"368","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Eggs","2000M05",NA
"369","Agricultural Input and Output Price Indices (Base 2005=100)","Wool","2000M05",111.474
"370","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Wool","2000M05",NA
"371","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural input price index","2000M05",83.1
"372","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural input price index","2000M05",NA
"373","Agricultural Input and Output Price Indices (Base 2005=100)","Seeds","2000M05",86.667
"374","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Seeds","2000M05",NA
"375","Agricultural Input and Output Price Indices (Base 2005=100)","Energy","2000M05",71.263
"376","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Energy","2000M05",NA
"377","Agricultural Input and Output Price Indices (Base 2005=100)","Electricity","2000M05",73.689
"378","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Electricity","2000M05",NA
"379","Agricultural Input and Output Price Indices (Base 2005=100)","Motor fuel","2000M05",70.262
"380","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Motor fuel","2000M05",NA
"381","Agricultural Input and Output Price Indices (Base 2005=100)","Lubricants","2000M05",84.059
"382","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Lubricants","2000M05",NA
"383","Agricultural Input and Output Price Indices (Base 2005=100)","Fertilisers","2000M05",79.164
"384","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Fertilisers","2000M05",NA
"385","Agricultural Input and Output Price Indices (Base 2005=100)","Straight fertilisers","2000M05",73.372
"386","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight fertilisers","2000M05",NA
"387","Agricultural Input and Output Price Indices (Base 2005=100)","Compound fertilisers","2000M05",82.079
"388","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound fertilisers","2000M05",NA
"389","Agricultural Input and Output Price Indices (Base 2005=100)","PK fertilisers","2000M05",89.405
"390","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","PK fertilisers","2000M05",NA
"391","Agricultural Input and Output Price Indices (Base 2005=100)","NPK fertilisers","2000M05",81.606
"392","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","NPK fertilisers","2000M05",NA
"393","Agricultural Input and Output Price Indices (Base 2005=100)","Other fertilisers","2000M05",90.002
"394","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other fertilisers","2000M05",NA
