"","Statistic","Month","Meat.Usage","value"
"1092","Average Pig Carcass Weight (Kg)","1985M03","Pigs for Bacon",61.4
"1093","Pigs Slaughtered (Number)","1985M04","Pigs for Bacon",100146
"1094","Weight of Pigs Slaughtered (Tonnes)","1985M04","Pigs for Bacon",6171
"1095","Average Pig Carcass Weight (Kg)","1985M04","Pigs for Bacon",61.6
"1096","Pigs Slaughtered (Number)","1985M05","Pigs for Bacon",103951
"1097","Weight of Pigs Slaughtered (Tonnes)","1985M05","Pigs for Bacon",6334
"1098","Average Pig Carcass Weight (Kg)","1985M05","Pigs for Bacon",60.9
"1099","Pigs Slaughtered (Number)","1985M06","Pigs for Bacon",96134
"1100","Weight of Pigs Slaughtered (Tonnes)","1985M06","Pigs for Bacon",5851
"1101","Average Pig Carcass Weight (Kg)","1985M06","Pigs for Bacon",60.9
"1102","Pigs Slaughtered (Number)","1985M07","Pigs for Bacon",117035
"1103","Weight of Pigs Slaughtered (Tonnes)","1985M07","Pigs for Bacon",7097
"1104","Average Pig Carcass Weight (Kg)","1985M07","Pigs for Bacon",60.6
"1105","Pigs Slaughtered (Number)","1985M08","Pigs for Bacon",111118
"1106","Weight of Pigs Slaughtered (Tonnes)","1985M08","Pigs for Bacon",6756
"1107","Average Pig Carcass Weight (Kg)","1985M08","Pigs for Bacon",60.8
"1108","Pigs Slaughtered (Number)","1985M09","Pigs for Bacon",114711
"1109","Weight of Pigs Slaughtered (Tonnes)","1985M09","Pigs for Bacon",7000
"1110","Average Pig Carcass Weight (Kg)","1985M09","Pigs for Bacon",61
"1111","Pigs Slaughtered (Number)","1985M10","Pigs for Bacon",114669
"1112","Weight of Pigs Slaughtered (Tonnes)","1985M10","Pigs for Bacon",6963
"1113","Average Pig Carcass Weight (Kg)","1985M10","Pigs for Bacon",60.7
"1114","Pigs Slaughtered (Number)","1985M11","Pigs for Bacon",109187
"1115","Weight of Pigs Slaughtered (Tonnes)","1985M11","Pigs for Bacon",6603
"1116","Average Pig Carcass Weight (Kg)","1985M11","Pigs for Bacon",60.5
"1117","Pigs Slaughtered (Number)","1985M12","Pigs for Bacon",96102
"1118","Weight of Pigs Slaughtered (Tonnes)","1985M12","Pigs for Bacon",6096
"1119","Average Pig Carcass Weight (Kg)","1985M12","Pigs for Bacon",63.4
"1120","Pigs Slaughtered (Number)","1986M01","Pigs for Bacon",116470
"1121","Weight of Pigs Slaughtered (Tonnes)","1986M01","Pigs for Bacon",7114
"1122","Average Pig Carcass Weight (Kg)","1986M01","Pigs for Bacon",61.1
"1123","Pigs Slaughtered (Number)","1986M02","Pigs for Bacon",93882
"1124","Weight of Pigs Slaughtered (Tonnes)","1986M02","Pigs for Bacon",5732
"1125","Average Pig Carcass Weight (Kg)","1986M02","Pigs for Bacon",61.1
"1126","Pigs Slaughtered (Number)","1986M03","Pigs for Bacon",102796
"1127","Weight of Pigs Slaughtered (Tonnes)","1986M03","Pigs for Bacon",6285
"1128","Average Pig Carcass Weight (Kg)","1986M03","Pigs for Bacon",61.1
"1129","Pigs Slaughtered (Number)","1986M04","Pigs for Bacon",114772
"1130","Weight of Pigs Slaughtered (Tonnes)","1986M04","Pigs for Bacon",7049
"1131","Average Pig Carcass Weight (Kg)","1986M04","Pigs for Bacon",61.4
"1132","Pigs Slaughtered (Number)","1986M05","Pigs for Bacon",111941
"1133","Weight of Pigs Slaughtered (Tonnes)","1986M05","Pigs for Bacon",6830
"1134","Average Pig Carcass Weight (Kg)","1986M05","Pigs for Bacon",61
"1135","Pigs Slaughtered (Number)","1986M06","Pigs for Bacon",104767
"1136","Weight of Pigs Slaughtered (Tonnes)","1986M06","Pigs for Bacon",6372
"1137","Average Pig Carcass Weight (Kg)","1986M06","Pigs for Bacon",60.8
"1138","Pigs Slaughtered (Number)","1986M07","Pigs for Bacon",116321
"1139","Weight of Pigs Slaughtered (Tonnes)","1986M07","Pigs for Bacon",7084
"1140","Average Pig Carcass Weight (Kg)","1986M07","Pigs for Bacon",60.9
"1141","Pigs Slaughtered (Number)","1986M08","Pigs for Bacon",105856
"1142","Weight of Pigs Slaughtered (Tonnes)","1986M08","Pigs for Bacon",6432
"1143","Average Pig Carcass Weight (Kg)","1986M08","Pigs for Bacon",60.8
"1144","Pigs Slaughtered (Number)","1986M09","Pigs for Bacon",118695
"1145","Weight of Pigs Slaughtered (Tonnes)","1986M09","Pigs for Bacon",7181
"1146","Average Pig Carcass Weight (Kg)","1986M09","Pigs for Bacon",60.5
"1147","Pigs Slaughtered (Number)","1986M10","Pigs for Bacon",116699
"1148","Weight of Pigs Slaughtered (Tonnes)","1986M10","Pigs for Bacon",7035
"1149","Average Pig Carcass Weight (Kg)","1986M10","Pigs for Bacon",60.3
"1150","Pigs Slaughtered (Number)","1986M11","Pigs for Bacon",103163
"1151","Weight of Pigs Slaughtered (Tonnes)","1986M11","Pigs for Bacon",6199
"1152","Average Pig Carcass Weight (Kg)","1986M11","Pigs for Bacon",60.1
"1153","Pigs Slaughtered (Number)","1986M12","Pigs for Bacon",104359
"1154","Weight of Pigs Slaughtered (Tonnes)","1986M12","Pigs for Bacon",6181
"1155","Average Pig Carcass Weight (Kg)","1986M12","Pigs for Bacon",59.2
"1156","Pigs Slaughtered (Number)","1987M01","Pigs for Bacon",107362
"1157","Weight of Pigs Slaughtered (Tonnes)","1987M01","Pigs for Bacon",6515
"1158","Average Pig Carcass Weight (Kg)","1987M01","Pigs for Bacon",60.7
"1159","Pigs Slaughtered (Number)","1987M02","Pigs for Bacon",97676
"1160","Weight of Pigs Slaughtered (Tonnes)","1987M02","Pigs for Bacon",5893
"1161","Average Pig Carcass Weight (Kg)","1987M02","Pigs for Bacon",60.3
"1162","Pigs Slaughtered (Number)","1987M03","Pigs for Bacon",106604
"1163","Weight of Pigs Slaughtered (Tonnes)","1987M03","Pigs for Bacon",6443
"1164","Average Pig Carcass Weight (Kg)","1987M03","Pigs for Bacon",60.4
"1165","Pigs Slaughtered (Number)","1987M04","Pigs for Bacon",103251
"1166","Weight of Pigs Slaughtered (Tonnes)","1987M04","Pigs for Bacon",6253
"1167","Average Pig Carcass Weight (Kg)","1987M04","Pigs for Bacon",60.6
"1168","Pigs Slaughtered (Number)","1987M05","Pigs for Bacon",90941
"1169","Weight of Pigs Slaughtered (Tonnes)","1987M05","Pigs for Bacon",5491
"1170","Average Pig Carcass Weight (Kg)","1987M05","Pigs for Bacon",60.4
"1171","Pigs Slaughtered (Number)","1987M06","Pigs for Bacon",99611
"1172","Weight of Pigs Slaughtered (Tonnes)","1987M06","Pigs for Bacon",6022
"1173","Average Pig Carcass Weight (Kg)","1987M06","Pigs for Bacon",60.5
"1174","Pigs Slaughtered (Number)","1987M07","Pigs for Bacon",109212
"1175","Weight of Pigs Slaughtered (Tonnes)","1987M07","Pigs for Bacon",6545
"1176","Average Pig Carcass Weight (Kg)","1987M07","Pigs for Bacon",59.9
"1177","Pigs Slaughtered (Number)","1987M08","Pigs for Bacon",95940
"1178","Weight of Pigs Slaughtered (Tonnes)","1987M08","Pigs for Bacon",5803
"1179","Average Pig Carcass Weight (Kg)","1987M08","Pigs for Bacon",60.5
"1180","Pigs Slaughtered (Number)","1987M09","Pigs for Bacon",102801
"1181","Weight of Pigs Slaughtered (Tonnes)","1987M09","Pigs for Bacon",6259
"1182","Average Pig Carcass Weight (Kg)","1987M09","Pigs for Bacon",60.9
"1183","Pigs Slaughtered (Number)","1987M10","Pigs for Bacon",95262
"1184","Weight of Pigs Slaughtered (Tonnes)","1987M10","Pigs for Bacon",5857
"1185","Average Pig Carcass Weight (Kg)","1987M10","Pigs for Bacon",61.5
"1186","Pigs Slaughtered (Number)","1987M11","Pigs for Bacon",101629
"1187","Weight of Pigs Slaughtered (Tonnes)","1987M11","Pigs for Bacon",6245
"1188","Average Pig Carcass Weight (Kg)","1987M11","Pigs for Bacon",61.4
"1189","Pigs Slaughtered (Number)","1987M12","Pigs for Bacon",89295
"1190","Weight of Pigs Slaughtered (Tonnes)","1987M12","Pigs for Bacon",5378
"1191","Average Pig Carcass Weight (Kg)","1987M12","Pigs for Bacon",60.2
"1192","Pigs Slaughtered (Number)","1988M01","Pigs for Bacon",100144
"1193","Weight of Pigs Slaughtered (Tonnes)","1988M01","Pigs for Bacon",6235
"1194","Average Pig Carcass Weight (Kg)","1988M01","Pigs for Bacon",62.3
"1195","Pigs Slaughtered (Number)","1988M02","Pigs for Bacon",96363
"1196","Weight of Pigs Slaughtered (Tonnes)","1988M02","Pigs for Bacon",5887
"1197","Average Pig Carcass Weight (Kg)","1988M02","Pigs for Bacon",61.1
"1198","Pigs Slaughtered (Number)","1988M03","Pigs for Bacon",100126
"1199","Weight of Pigs Slaughtered (Tonnes)","1988M03","Pigs for Bacon",6109
"1200","Average Pig Carcass Weight (Kg)","1988M03","Pigs for Bacon",61
"1201","Pigs Slaughtered (Number)","1988M04","Pigs for Bacon",88352
"1202","Weight of Pigs Slaughtered (Tonnes)","1988M04","Pigs for Bacon",5411
"1203","Average Pig Carcass Weight (Kg)","1988M04","Pigs for Bacon",61.2
"1204","Pigs Slaughtered (Number)","1988M05","Pigs for Bacon",96253
"1205","Weight of Pigs Slaughtered (Tonnes)","1988M05","Pigs for Bacon",5850
"1206","Average Pig Carcass Weight (Kg)","1988M05","Pigs for Bacon",60.8
"1207","Pigs Slaughtered (Number)","1988M06","Pigs for Bacon",97892
"1208","Weight of Pigs Slaughtered (Tonnes)","1988M06","Pigs for Bacon",5951
"1209","Average Pig Carcass Weight (Kg)","1988M06","Pigs for Bacon",60.8
"1210","Pigs Slaughtered (Number)","1988M07","Pigs for Bacon",89619
"1211","Weight of Pigs Slaughtered (Tonnes)","1988M07","Pigs for Bacon",5401
"1212","Average Pig Carcass Weight (Kg)","1988M07","Pigs for Bacon",60.3
"1213","Pigs Slaughtered (Number)","1988M08","Pigs for Bacon",101565
"1214","Weight of Pigs Slaughtered (Tonnes)","1988M08","Pigs for Bacon",6196
"1215","Average Pig Carcass Weight (Kg)","1988M08","Pigs for Bacon",61
"1216","Pigs Slaughtered (Number)","1988M09","Pigs for Bacon",100014
"1217","Weight of Pigs Slaughtered (Tonnes)","1988M09","Pigs for Bacon",6205
"1218","Average Pig Carcass Weight (Kg)","1988M09","Pigs for Bacon",62
"1219","Pigs Slaughtered (Number)","1988M10","Pigs for Bacon",88851
"1220","Weight of Pigs Slaughtered (Tonnes)","1988M10","Pigs for Bacon",5548
"1221","Average Pig Carcass Weight (Kg)","1988M10","Pigs for Bacon",62.4
"1222","Pigs Slaughtered (Number)","1988M11","Pigs for Bacon",105279
"1223","Weight of Pigs Slaughtered (Tonnes)","1988M11","Pigs for Bacon",6547
"1224","Average Pig Carcass Weight (Kg)","1988M11","Pigs for Bacon",62.2
"1225","Pigs Slaughtered (Number)","1988M12","Pigs for Bacon",102873
"1226","Weight of Pigs Slaughtered (Tonnes)","1988M12","Pigs for Bacon",6315
"1227","Average Pig Carcass Weight (Kg)","1988M12","Pigs for Bacon",61.4
"1228","Pigs Slaughtered (Number)","1989M01","Pigs for Bacon",117646
"1229","Weight of Pigs Slaughtered (Tonnes)","1989M01","Pigs for Bacon",7386
"1230","Average Pig Carcass Weight (Kg)","1989M01","Pigs for Bacon",62.8
"1231","Pigs Slaughtered (Number)","1989M02","Pigs for Bacon",99059
"1232","Weight of Pigs Slaughtered (Tonnes)","1989M02","Pigs for Bacon",6168
"1233","Average Pig Carcass Weight (Kg)","1989M02","Pigs for Bacon",62.3
"1234","Pigs Slaughtered (Number)","1989M03","Pigs for Bacon",103286
"1235","Weight of Pigs Slaughtered (Tonnes)","1989M03","Pigs for Bacon",6459
"1236","Average Pig Carcass Weight (Kg)","1989M03","Pigs for Bacon",62.5
"1237","Pigs Slaughtered (Number)","1989M04","Pigs for Bacon",92069
"1238","Weight of Pigs Slaughtered (Tonnes)","1989M04","Pigs for Bacon",5743
"1239","Average Pig Carcass Weight (Kg)","1989M04","Pigs for Bacon",62.4
"1240","Pigs Slaughtered (Number)","1989M05","Pigs for Bacon",106179
"1241","Weight of Pigs Slaughtered (Tonnes)","1989M05","Pigs for Bacon",6580
"1242","Average Pig Carcass Weight (Kg)","1989M05","Pigs for Bacon",62
"1243","Pigs Slaughtered (Number)","1989M06","Pigs for Bacon",97436
"1244","Weight of Pigs Slaughtered (Tonnes)","1989M06","Pigs for Bacon",6003
"1245","Average Pig Carcass Weight (Kg)","1989M06","Pigs for Bacon",61.6
"1246","Pigs Slaughtered (Number)","1989M07","Pigs for Bacon",92565
"1247","Weight of Pigs Slaughtered (Tonnes)","1989M07","Pigs for Bacon",5654
"1248","Average Pig Carcass Weight (Kg)","1989M07","Pigs for Bacon",61.1
"1249","Pigs Slaughtered (Number)","1989M08","Pigs for Bacon",98780
"1250","Weight of Pigs Slaughtered (Tonnes)","1989M08","Pigs for Bacon",6091
"1251","Average Pig Carcass Weight (Kg)","1989M08","Pigs for Bacon",61.7
"1252","Pigs Slaughtered (Number)","1989M09","Pigs for Bacon",90856
"1253","Weight of Pigs Slaughtered (Tonnes)","1989M09","Pigs for Bacon",5668
"1254","Average Pig Carcass Weight (Kg)","1989M09","Pigs for Bacon",62.4
"1255","Pigs Slaughtered (Number)","1989M10","Pigs for Bacon",98170
"1256","Weight of Pigs Slaughtered (Tonnes)","1989M10","Pigs for Bacon",6225
"1257","Average Pig Carcass Weight (Kg)","1989M10","Pigs for Bacon",63.4
"1258","Pigs Slaughtered (Number)","1989M11","Pigs for Bacon",109581
"1259","Weight of Pigs Slaughtered (Tonnes)","1989M11","Pigs for Bacon",6956
"1260","Average Pig Carcass Weight (Kg)","1989M11","Pigs for Bacon",63.5
"1261","Pigs Slaughtered (Number)","1989M12","Pigs for Bacon",80472
"1262","Weight of Pigs Slaughtered (Tonnes)","1989M12","Pigs for Bacon",5035
"1263","Average Pig Carcass Weight (Kg)","1989M12","Pigs for Bacon",62.6
"1264","Pigs Slaughtered (Number)","1990M01","Pigs for Bacon",91852
"1265","Weight of Pigs Slaughtered (Tonnes)","1990M01","Pigs for Bacon",5830
"1266","Average Pig Carcass Weight (Kg)","1990M01","Pigs for Bacon",63.5
"1267","Pigs Slaughtered (Number)","1990M02","Pigs for Bacon",68821
"1268","Weight of Pigs Slaughtered (Tonnes)","1990M02","Pigs for Bacon",4318
"1269","Average Pig Carcass Weight (Kg)","1990M02","Pigs for Bacon",62.7
"1270","Pigs Slaughtered (Number)","1990M03","Pigs for Bacon",81804
"1271","Weight of Pigs Slaughtered (Tonnes)","1990M03","Pigs for Bacon",5152
"1272","Average Pig Carcass Weight (Kg)","1990M03","Pigs for Bacon",63
"1273","Pigs Slaughtered (Number)","1990M04","Pigs for Bacon",78836
"1274","Weight of Pigs Slaughtered (Tonnes)","1990M04","Pigs for Bacon",4919
"1275","Average Pig Carcass Weight (Kg)","1990M04","Pigs for Bacon",62.4
"1276","Pigs Slaughtered (Number)","1990M05","Pigs for Bacon",86009
"1277","Weight of Pigs Slaughtered (Tonnes)","1990M05","Pigs for Bacon",5353
"1278","Average Pig Carcass Weight (Kg)","1990M05","Pigs for Bacon",62.2
"1279","Pigs Slaughtered (Number)","1990M06","Pigs for Bacon",79195
"1280","Weight of Pigs Slaughtered (Tonnes)","1990M06","Pigs for Bacon",4906
"1281","Average Pig Carcass Weight (Kg)","1990M06","Pigs for Bacon",61.9
"1282","Pigs Slaughtered (Number)","1990M07","Pigs for Bacon",88684
"1283","Weight of Pigs Slaughtered (Tonnes)","1990M07","Pigs for Bacon",5471
"1284","Average Pig Carcass Weight (Kg)","1990M07","Pigs for Bacon",61.7
"1285","Pigs Slaughtered (Number)","1990M08","Pigs for Bacon",90905
"1286","Weight of Pigs Slaughtered (Tonnes)","1990M08","Pigs for Bacon",5612
"1287","Average Pig Carcass Weight (Kg)","1990M08","Pigs for Bacon",61.7
"1288","Pigs Slaughtered (Number)","1990M09","Pigs for Bacon",80371
"1289","Weight of Pigs Slaughtered (Tonnes)","1990M09","Pigs for Bacon",5009
"1290","Average Pig Carcass Weight (Kg)","1990M09","Pigs for Bacon",62.3
"1291","Pigs Slaughtered (Number)","1990M10","Pigs for Bacon",87058
"1292","Weight of Pigs Slaughtered (Tonnes)","1990M10","Pigs for Bacon",5489
"1293","Average Pig Carcass Weight (Kg)","1990M10","Pigs for Bacon",63
"1294","Pigs Slaughtered (Number)","1990M11","Pigs for Bacon",95249
"1295","Weight of Pigs Slaughtered (Tonnes)","1990M11","Pigs for Bacon",5900
"1296","Average Pig Carcass Weight (Kg)","1990M11","Pigs for Bacon",61.9
"1297","Pigs Slaughtered (Number)","1990M12","Pigs for Bacon",74151
"1298","Weight of Pigs Slaughtered (Tonnes)","1990M12","Pigs for Bacon",4590
"1299","Average Pig Carcass Weight (Kg)","1990M12","Pigs for Bacon",61.9
"1300","Pigs Slaughtered (Number)","1991M01","Pigs for Bacon",89638
"1301","Weight of Pigs Slaughtered (Tonnes)","1991M01","Pigs for Bacon",5696
"1302","Average Pig Carcass Weight (Kg)","1991M01","Pigs for Bacon",63.5
"1303","Pigs Slaughtered (Number)","1991M02","Pigs for Bacon",77942
"1304","Weight of Pigs Slaughtered (Tonnes)","1991M02","Pigs for Bacon",4944
"1305","Average Pig Carcass Weight (Kg)","1991M02","Pigs for Bacon",63.4
"1306","Pigs Slaughtered (Number)","1991M03","Pigs for Bacon",79036
"1307","Weight of Pigs Slaughtered (Tonnes)","1991M03","Pigs for Bacon",5001
"1308","Average Pig Carcass Weight (Kg)","1991M03","Pigs for Bacon",63.3
"1309","Pigs Slaughtered (Number)","1991M04","Pigs for Bacon",79671
"1310","Weight of Pigs Slaughtered (Tonnes)","1991M04","Pigs for Bacon",5024
"1311","Average Pig Carcass Weight (Kg)","1991M04","Pigs for Bacon",63.1
"1312","Pigs Slaughtered (Number)","1991M05","Pigs for Bacon",82805
"1313","Weight of Pigs Slaughtered (Tonnes)","1991M05","Pigs for Bacon",5203
"1314","Average Pig Carcass Weight (Kg)","1991M05","Pigs for Bacon",62.8
"1315","Pigs Slaughtered (Number)","1991M06","Pigs for Bacon",70752
"1316","Weight of Pigs Slaughtered (Tonnes)","1991M06","Pigs for Bacon",4441
"1317","Average Pig Carcass Weight (Kg)","1991M06","Pigs for Bacon",62.8
"1318","Pigs Slaughtered (Number)","1991M07","Pigs for Bacon",87056
"1319","Weight of Pigs Slaughtered (Tonnes)","1991M07","Pigs for Bacon",5465
"1320","Average Pig Carcass Weight (Kg)","1991M07","Pigs for Bacon",62.8
"1321","Pigs Slaughtered (Number)","1991M08","Pigs for Bacon",75545
"1322","Weight of Pigs Slaughtered (Tonnes)","1991M08","Pigs for Bacon",4386
"1323","Average Pig Carcass Weight (Kg)","1991M08","Pigs for Bacon",58.1
"1324","Pigs Slaughtered (Number)","1991M09","Pigs for Bacon",77756
"1325","Weight of Pigs Slaughtered (Tonnes)","1991M09","Pigs for Bacon",4952
"1326","Average Pig Carcass Weight (Kg)","1991M09","Pigs for Bacon",63.7
"1327","Pigs Slaughtered (Number)","1991M10","Pigs for Bacon",85636
"1328","Weight of Pigs Slaughtered (Tonnes)","1991M10","Pigs for Bacon",5478
"1329","Average Pig Carcass Weight (Kg)","1991M10","Pigs for Bacon",64
"1330","Pigs Slaughtered (Number)","1991M11","Pigs for Bacon",82019
"1331","Weight of Pigs Slaughtered (Tonnes)","1991M11","Pigs for Bacon",5280
"1332","Average Pig Carcass Weight (Kg)","1991M11","Pigs for Bacon",64.4
"1333","Pigs Slaughtered (Number)","1991M12","Pigs for Bacon",77450
"1334","Weight of Pigs Slaughtered (Tonnes)","1991M12","Pigs for Bacon",4954
"1335","Average Pig Carcass Weight (Kg)","1991M12","Pigs for Bacon",64
"1336","Pigs Slaughtered (Number)","1992M01","Pigs for Bacon",88484
"1337","Weight of Pigs Slaughtered (Tonnes)","1992M01","Pigs for Bacon",5589
"1338","Average Pig Carcass Weight (Kg)","1992M01","Pigs for Bacon",63.2
"1339","Pigs Slaughtered (Number)","1992M02","Pigs for Bacon",72726
"1340","Weight of Pigs Slaughtered (Tonnes)","1992M02","Pigs for Bacon",4749
"1341","Average Pig Carcass Weight (Kg)","1992M02","Pigs for Bacon",65.3
"1342","Pigs Slaughtered (Number)","1992M03","Pigs for Bacon",82020
"1343","Weight of Pigs Slaughtered (Tonnes)","1992M03","Pigs for Bacon",5364
"1344","Average Pig Carcass Weight (Kg)","1992M03","Pigs for Bacon",65.4
"1345","Pigs Slaughtered (Number)","1992M04","Pigs for Bacon",78867
"1346","Weight of Pigs Slaughtered (Tonnes)","1992M04","Pigs for Bacon",5161
"1347","Average Pig Carcass Weight (Kg)","1992M04","Pigs for Bacon",65.4
"1348","Pigs Slaughtered (Number)","1992M05","Pigs for Bacon",80805
"1349","Weight of Pigs Slaughtered (Tonnes)","1992M05","Pigs for Bacon",5266
"1350","Average Pig Carcass Weight (Kg)","1992M05","Pigs for Bacon",65.2
"1351","Pigs Slaughtered (Number)","1992M06","Pigs for Bacon",86223
"1352","Weight of Pigs Slaughtered (Tonnes)","1992M06","Pigs for Bacon",5559
"1353","Average Pig Carcass Weight (Kg)","1992M06","Pigs for Bacon",64.5
"1354","Pigs Slaughtered (Number)","1992M07","Pigs for Bacon",89613
"1355","Weight of Pigs Slaughtered (Tonnes)","1992M07","Pigs for Bacon",5769
"1356","Average Pig Carcass Weight (Kg)","1992M07","Pigs for Bacon",64.4
"1357","Pigs Slaughtered (Number)","1992M08","Pigs for Bacon",82817
"1358","Weight of Pigs Slaughtered (Tonnes)","1992M08","Pigs for Bacon",5353
"1359","Average Pig Carcass Weight (Kg)","1992M08","Pigs for Bacon",64.6
