"","Statistic","Meat.Characteristic","Month","Type.of.Animal","value"
"210","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M03","Cattle without Calves",21.7
"211","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M03","Cattle without Calves",4
"212","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M03","Cattle without Calves",1.2
"213","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M03","Cattle without Calves",4
"214","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M03","Cattle without Calves",1.2
"215","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M03","Cattle without Calves",45.3
"216","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M03","Cattle without Calves",12.1
"217","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M04","Cattle without Calves",76.1
"218","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M04","Cattle without Calves",20.9
"219","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M04","Cattle without Calves",4.6
"220","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M04","Cattle without Calves",1.3
"221","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M04","Cattle without Calves",4.6
"222","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M04","Cattle without Calves",1.3
"223","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M04","Cattle without Calves",27
"224","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M04","Cattle without Calves",6.7
"225","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M05","Cattle without Calves",72.5
"226","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M05","Cattle without Calves",19.8
"227","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M05","Cattle without Calves",2.9
"228","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M05","Cattle without Calves",0.8
"229","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M05","Cattle without Calves",2.9
"230","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M05","Cattle without Calves",0.8
"231","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M05","Cattle without Calves",13.9
"232","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M05","Cattle without Calves",3.4
"233","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M06","Cattle without Calves",87
"234","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M06","Cattle without Calves",24.5
"235","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M06","Cattle without Calves",3.1
"236","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M06","Cattle without Calves",0.9
"237","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M06","Cattle without Calves",3.1
"238","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M06","Cattle without Calves",0.9
"239","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M06","Cattle without Calves",28.9
"240","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M06","Cattle without Calves",7.9
