"","Statistic","Meat.Characteristic","Month","Type.of.Animal","value"
"2487","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1991M02","Bullocks",3.5
"2488","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1991M02","Bullocks",1.2
"2489","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1991M03","Bullocks",65
"2490","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1991M03","Bullocks",24.1
"2491","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1991M03","Bullocks",0
"2492","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1991M03","Bullocks",0
"2493","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1991M03","Bullocks",0
"2494","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1991M03","Bullocks",0
"2495","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1991M03","Bullocks",7.5
"2496","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1991M03","Bullocks",2.5
"2497","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1991M04","Bullocks",73.7
"2498","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1991M04","Bullocks",26.8
"2499","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1991M04","Bullocks",0
"2500","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1991M04","Bullocks",0
"2501","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1991M04","Bullocks",0
"2502","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1991M04","Bullocks",0
"2503","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1991M04","Bullocks",3
"2504","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1991M04","Bullocks",0.9
"2505","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1991M05","Bullocks",35.1
"2506","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1991M05","Bullocks",12.7
"2507","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1991M05","Bullocks",0
"2508","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1991M05","Bullocks",0
"2509","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1991M05","Bullocks",0
"2510","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1991M05","Bullocks",0
"2511","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1991M05","Bullocks",3.3
"2512","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1991M05","Bullocks",0.9
"2513","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1991M06","Bullocks",54.8
"2514","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1991M06","Bullocks",19.9
"2515","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1991M06","Bullocks",0
"2516","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1991M06","Bullocks",0
"2517","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1991M06","Bullocks",0
"2518","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1991M06","Bullocks",0
"2519","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1991M06","Bullocks",4.3
"2520","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1991M06","Bullocks",1.4
"2521","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1991M07","Bullocks",32.3
"2522","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1991M07","Bullocks",12
"2523","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1991M07","Bullocks",0
"2524","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1991M07","Bullocks",0
"2525","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1991M07","Bullocks",0
"2526","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1991M07","Bullocks",0
"2527","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1991M07","Bullocks",2.6
"2528","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1991M07","Bullocks",0.8
"2529","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1991M08","Bullocks",79.9
"2530","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1991M08","Bullocks",29.4
"2531","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1991M08","Bullocks",0
"2532","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1991M08","Bullocks",0
"2533","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1991M08","Bullocks",0
"2534","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1991M08","Bullocks",0
"2535","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1991M08","Bullocks",2.8
"2536","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1991M08","Bullocks",0.9
"2537","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1991M09","Bullocks",115.7
"2538","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1991M09","Bullocks",42.3
"2539","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1991M09","Bullocks",0
"2540","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1991M09","Bullocks",0
"2541","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1991M09","Bullocks",0
"2542","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1991M09","Bullocks",0
"2543","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1991M09","Bullocks",4.8
"2544","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1991M09","Bullocks",1.6
"2545","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1991M10","Bullocks",172.9
"2546","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1991M10","Bullocks",62.4
"2547","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1991M10","Bullocks",0
"2548","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1991M10","Bullocks",0
"2549","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1991M10","Bullocks",0
"2550","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1991M10","Bullocks",0
"2551","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1991M10","Bullocks",10.8
"2552","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1991M10","Bullocks",3.4
"2553","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1991M11","Bullocks",151.9
"2554","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1991M11","Bullocks",54.4
"2555","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1991M11","Bullocks",0
"2556","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1991M11","Bullocks",0
"2557","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1991M11","Bullocks",0
"2558","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1991M11","Bullocks",0
"2559","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1991M11","Bullocks",11.8
"2560","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1991M11","Bullocks",3.6
"2561","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1991M12","Bullocks",50.5
"2562","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1991M12","Bullocks",18.5
"2563","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1991M12","Bullocks",0
"2564","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1991M12","Bullocks",0
"2565","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1991M12","Bullocks",0
"2566","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1991M12","Bullocks",0
"2567","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1991M12","Bullocks",3.5
"2568","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1991M12","Bullocks",1.1
"2569","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1992M01","Bullocks",43.6
"2570","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1992M01","Bullocks",16.5
"2571","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1992M01","Bullocks",0.1
"2572","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1992M01","Bullocks",0
"2573","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1992M01","Bullocks",0.1
"2574","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1992M01","Bullocks",0
"2575","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1992M01","Bullocks",2.2
"2576","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1992M01","Bullocks",0.8
"2577","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1992M02","Bullocks",40.3
"2578","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1992M02","Bullocks",15.3
"2579","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1992M02","Bullocks",0.2
"2580","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1992M02","Bullocks",0.1
"2581","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1992M02","Bullocks",0.2
"2582","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1992M02","Bullocks",0.1
"2583","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1992M02","Bullocks",3.1
"2584","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1992M02","Bullocks",1.1
"2585","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1992M03","Bullocks",71.5
"2586","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1992M03","Bullocks",27.1
"2587","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1992M03","Bullocks",0.2
"2588","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1992M03","Bullocks",0.1
"2589","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1992M03","Bullocks",0.2
"2590","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1992M03","Bullocks",0.1
"2591","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1992M03","Bullocks",5.4
"2592","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1992M03","Bullocks",1.8
"2593","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1992M04","Bullocks",59.5
"2594","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1992M04","Bullocks",22.1
"2595","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1992M04","Bullocks",0.3
"2596","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1992M04","Bullocks",0.1
"2597","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1992M04","Bullocks",0.3
"2598","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1992M04","Bullocks",0.1
"2599","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1992M04","Bullocks",7
"2600","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1992M04","Bullocks",2.3
"2601","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1992M05","Bullocks",38.9
"2602","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1992M05","Bullocks",14.6
"2603","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1992M05","Bullocks",0.1
"2604","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1992M05","Bullocks",0
"2605","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1992M05","Bullocks",0.1
"2606","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1992M05","Bullocks",0
"2607","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1992M05","Bullocks",3.3
"2608","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1992M05","Bullocks",1.1
"2609","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1992M06","Bullocks",41
"2610","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1992M06","Bullocks",15.5
"2611","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1992M06","Bullocks",0.4
"2612","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1992M06","Bullocks",0.1
"2613","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1992M06","Bullocks",0.4
"2614","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1992M06","Bullocks",0.1
"2615","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1992M06","Bullocks",2.3
"2616","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1992M06","Bullocks",0.8
"2617","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1992M07","Bullocks",52.1
"2618","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1992M07","Bullocks",19.5
"2619","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1992M07","Bullocks",0.1
"2620","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1992M07","Bullocks",0
"2621","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1992M07","Bullocks",0.1
"2622","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1992M07","Bullocks",0
"2623","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1992M07","Bullocks",3
"2624","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1992M07","Bullocks",1
"2625","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1992M08","Bullocks",65
"2626","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1992M08","Bullocks",24.3
"2627","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1992M08","Bullocks",0.1
"2628","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1992M08","Bullocks",0
"2629","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1992M08","Bullocks",0.1
"2630","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1992M08","Bullocks",0
