"","Statistic","Month","Type.of.Animal","value"
"4962","Weight of Livestock Slaughtered (000 Tonnes)","1984M08","Calves",0.1
"4963","Number of Livestock Slaughtered (000 Head)","1984M09","Calves",0.9
"4964","Weight of Livestock Slaughtered (000 Tonnes)","1984M09","Calves",0.1
"4965","Number of Livestock Slaughtered (000 Head)","1984M10","Calves",0.5
"4966","Weight of Livestock Slaughtered (000 Tonnes)","1984M10","Calves",0.1
"4967","Number of Livestock Slaughtered (000 Head)","1984M11","Calves",0.8
"4968","Weight of Livestock Slaughtered (000 Tonnes)","1984M11","Calves",0.1
"4969","Number of Livestock Slaughtered (000 Head)","1984M12","Calves",0.4
"4970","Weight of Livestock Slaughtered (000 Tonnes)","1984M12","Calves",0
"4971","Number of Livestock Slaughtered (000 Head)","1985M01","Calves",0.3
"4972","Weight of Livestock Slaughtered (000 Tonnes)","1985M01","Calves",0
"4973","Number of Livestock Slaughtered (000 Head)","1985M02","Calves",0.3
"4974","Weight of Livestock Slaughtered (000 Tonnes)","1985M02","Calves",0
"4975","Number of Livestock Slaughtered (000 Head)","1985M03","Calves",0.2
"4976","Weight of Livestock Slaughtered (000 Tonnes)","1985M03","Calves",0
"4977","Number of Livestock Slaughtered (000 Head)","1985M04","Calves",0.3
"4978","Weight of Livestock Slaughtered (000 Tonnes)","1985M04","Calves",0
"4979","Number of Livestock Slaughtered (000 Head)","1985M05","Calves",0.2
"4980","Weight of Livestock Slaughtered (000 Tonnes)","1985M05","Calves",0
"4981","Number of Livestock Slaughtered (000 Head)","1985M06","Calves",0.5
"4982","Weight of Livestock Slaughtered (000 Tonnes)","1985M06","Calves",0.1
"4983","Number of Livestock Slaughtered (000 Head)","1985M07","Calves",0.2
"4984","Weight of Livestock Slaughtered (000 Tonnes)","1985M07","Calves",0
"4985","Number of Livestock Slaughtered (000 Head)","1985M08","Calves",0.1
"4986","Weight of Livestock Slaughtered (000 Tonnes)","1985M08","Calves",0
"4987","Number of Livestock Slaughtered (000 Head)","1985M09","Calves",0.3
"4988","Weight of Livestock Slaughtered (000 Tonnes)","1985M09","Calves",0
"4989","Number of Livestock Slaughtered (000 Head)","1985M10","Calves",0.2
"4990","Weight of Livestock Slaughtered (000 Tonnes)","1985M10","Calves",0
"4991","Number of Livestock Slaughtered (000 Head)","1985M11","Calves",0.2
"4992","Weight of Livestock Slaughtered (000 Tonnes)","1985M11","Calves",0
"4993","Number of Livestock Slaughtered (000 Head)","1985M12","Calves",0.3
"4994","Weight of Livestock Slaughtered (000 Tonnes)","1985M12","Calves",0
"4995","Number of Livestock Slaughtered (000 Head)","1986M01","Calves",0.2
"4996","Weight of Livestock Slaughtered (000 Tonnes)","1986M01","Calves",0
"4997","Number of Livestock Slaughtered (000 Head)","1986M02","Calves",0.3
"4998","Weight of Livestock Slaughtered (000 Tonnes)","1986M02","Calves",0
"4999","Number of Livestock Slaughtered (000 Head)","1986M03","Calves",0.3
"5000","Weight of Livestock Slaughtered (000 Tonnes)","1986M03","Calves",0
"5001","Number of Livestock Slaughtered (000 Head)","1986M04","Calves",0.4
"5002","Weight of Livestock Slaughtered (000 Tonnes)","1986M04","Calves",0
"5003","Number of Livestock Slaughtered (000 Head)","1986M05","Calves",0.3
"5004","Weight of Livestock Slaughtered (000 Tonnes)","1986M05","Calves",0
"5005","Number of Livestock Slaughtered (000 Head)","1986M06","Calves",0.3
"5006","Weight of Livestock Slaughtered (000 Tonnes)","1986M06","Calves",0
"5007","Number of Livestock Slaughtered (000 Head)","1986M07","Calves",0.4
"5008","Weight of Livestock Slaughtered (000 Tonnes)","1986M07","Calves",0
"5009","Number of Livestock Slaughtered (000 Head)","1986M08","Calves",0.3
"5010","Weight of Livestock Slaughtered (000 Tonnes)","1986M08","Calves",0
"5011","Number of Livestock Slaughtered (000 Head)","1986M09","Calves",0.4
"5012","Weight of Livestock Slaughtered (000 Tonnes)","1986M09","Calves",0
"5013","Number of Livestock Slaughtered (000 Head)","1986M10","Calves",0.4
"5014","Weight of Livestock Slaughtered (000 Tonnes)","1986M10","Calves",0
"5015","Number of Livestock Slaughtered (000 Head)","1986M11","Calves",0.2
"5016","Weight of Livestock Slaughtered (000 Tonnes)","1986M11","Calves",0
"5017","Number of Livestock Slaughtered (000 Head)","1986M12","Calves",0.3
"5018","Weight of Livestock Slaughtered (000 Tonnes)","1986M12","Calves",0
"5019","Number of Livestock Slaughtered (000 Head)","1987M01","Calves",0.3
"5020","Weight of Livestock Slaughtered (000 Tonnes)","1987M01","Calves",0
"5021","Number of Livestock Slaughtered (000 Head)","1987M02","Calves",0.3
"5022","Weight of Livestock Slaughtered (000 Tonnes)","1987M02","Calves",0
"5023","Number of Livestock Slaughtered (000 Head)","1987M03","Calves",0.3
"5024","Weight of Livestock Slaughtered (000 Tonnes)","1987M03","Calves",0
"5025","Number of Livestock Slaughtered (000 Head)","1987M04","Calves",0.2
"5026","Weight of Livestock Slaughtered (000 Tonnes)","1987M04","Calves",0
"5027","Number of Livestock Slaughtered (000 Head)","1987M05","Calves",0.2
"5028","Weight of Livestock Slaughtered (000 Tonnes)","1987M05","Calves",0
"5029","Number of Livestock Slaughtered (000 Head)","1987M06","Calves",0.2
"5030","Weight of Livestock Slaughtered (000 Tonnes)","1987M06","Calves",0
"5031","Number of Livestock Slaughtered (000 Head)","1987M07","Calves",0.3
"5032","Weight of Livestock Slaughtered (000 Tonnes)","1987M07","Calves",0
"5033","Number of Livestock Slaughtered (000 Head)","1987M08","Calves",0.2
"5034","Weight of Livestock Slaughtered (000 Tonnes)","1987M08","Calves",0
"5035","Number of Livestock Slaughtered (000 Head)","1987M09","Calves",0.3
"5036","Weight of Livestock Slaughtered (000 Tonnes)","1987M09","Calves",0
"5037","Number of Livestock Slaughtered (000 Head)","1987M10","Calves",0.5
"5038","Weight of Livestock Slaughtered (000 Tonnes)","1987M10","Calves",0.1
"5039","Number of Livestock Slaughtered (000 Head)","1987M11","Calves",0.4
"5040","Weight of Livestock Slaughtered (000 Tonnes)","1987M11","Calves",0
"5041","Number of Livestock Slaughtered (000 Head)","1987M12","Calves",0.3
"5042","Weight of Livestock Slaughtered (000 Tonnes)","1987M12","Calves",0
"5043","Number of Livestock Slaughtered (000 Head)","1988M01","Calves",0.1
"5044","Weight of Livestock Slaughtered (000 Tonnes)","1988M01","Calves",0
"5045","Number of Livestock Slaughtered (000 Head)","1988M02","Calves",0.1
"5046","Weight of Livestock Slaughtered (000 Tonnes)","1988M02","Calves",0
"5047","Number of Livestock Slaughtered (000 Head)","1988M03","Calves",0.2
"5048","Weight of Livestock Slaughtered (000 Tonnes)","1988M03","Calves",0
"5049","Number of Livestock Slaughtered (000 Head)","1988M04","Calves",0.1
"5050","Weight of Livestock Slaughtered (000 Tonnes)","1988M04","Calves",0
"5051","Number of Livestock Slaughtered (000 Head)","1988M05","Calves",0.2
"5052","Weight of Livestock Slaughtered (000 Tonnes)","1988M05","Calves",0
"5053","Number of Livestock Slaughtered (000 Head)","1988M06","Calves",0.2
"5054","Weight of Livestock Slaughtered (000 Tonnes)","1988M06","Calves",0
"5055","Number of Livestock Slaughtered (000 Head)","1988M07","Calves",0.2
"5056","Weight of Livestock Slaughtered (000 Tonnes)","1988M07","Calves",0
"5057","Number of Livestock Slaughtered (000 Head)","1988M08","Calves",0.1
"5058","Weight of Livestock Slaughtered (000 Tonnes)","1988M08","Calves",0
"5059","Number of Livestock Slaughtered (000 Head)","1988M09","Calves",0.2
"5060","Weight of Livestock Slaughtered (000 Tonnes)","1988M09","Calves",0
"5061","Number of Livestock Slaughtered (000 Head)","1988M10","Calves",0.3
"5062","Weight of Livestock Slaughtered (000 Tonnes)","1988M10","Calves",0
"5063","Number of Livestock Slaughtered (000 Head)","1988M11","Calves",0.3
"5064","Weight of Livestock Slaughtered (000 Tonnes)","1988M11","Calves",0
"5065","Number of Livestock Slaughtered (000 Head)","1988M12","Calves",0.2
"5066","Weight of Livestock Slaughtered (000 Tonnes)","1988M12","Calves",0
"5067","Number of Livestock Slaughtered (000 Head)","1989M01","Calves",0.1
"5068","Weight of Livestock Slaughtered (000 Tonnes)","1989M01","Calves",0
"5069","Number of Livestock Slaughtered (000 Head)","1989M02","Calves",0.2
"5070","Weight of Livestock Slaughtered (000 Tonnes)","1989M02","Calves",0
"5071","Number of Livestock Slaughtered (000 Head)","1989M03","Calves",0.1
"5072","Weight of Livestock Slaughtered (000 Tonnes)","1989M03","Calves",0
"5073","Number of Livestock Slaughtered (000 Head)","1989M04","Calves",0.3
"5074","Weight of Livestock Slaughtered (000 Tonnes)","1989M04","Calves",0
"5075","Number of Livestock Slaughtered (000 Head)","1989M05","Calves",0.2
"5076","Weight of Livestock Slaughtered (000 Tonnes)","1989M05","Calves",0
"5077","Number of Livestock Slaughtered (000 Head)","1989M06","Calves",0.1
"5078","Weight of Livestock Slaughtered (000 Tonnes)","1989M06","Calves",0
"5079","Number of Livestock Slaughtered (000 Head)","1989M07","Calves",0.1
"5080","Weight of Livestock Slaughtered (000 Tonnes)","1989M07","Calves",0
"5081","Number of Livestock Slaughtered (000 Head)","1989M08","Calves",0.2
"5082","Weight of Livestock Slaughtered (000 Tonnes)","1989M08","Calves",0
"5083","Number of Livestock Slaughtered (000 Head)","1989M09","Calves",0.1
"5084","Weight of Livestock Slaughtered (000 Tonnes)","1989M09","Calves",0
"5085","Number of Livestock Slaughtered (000 Head)","1989M10","Calves",0.3
"5086","Weight of Livestock Slaughtered (000 Tonnes)","1989M10","Calves",0
"5087","Number of Livestock Slaughtered (000 Head)","1989M11","Calves",0.4
"5088","Weight of Livestock Slaughtered (000 Tonnes)","1989M11","Calves",0
"5089","Number of Livestock Slaughtered (000 Head)","1989M12","Calves",0.2
"5090","Weight of Livestock Slaughtered (000 Tonnes)","1989M12","Calves",0
"5091","Number of Livestock Slaughtered (000 Head)","1990M01","Calves",0.2
"5092","Weight of Livestock Slaughtered (000 Tonnes)","1990M01","Calves",0
"5093","Number of Livestock Slaughtered (000 Head)","1990M02","Calves",0.1
"5094","Weight of Livestock Slaughtered (000 Tonnes)","1990M02","Calves",0
"5095","Number of Livestock Slaughtered (000 Head)","1990M03","Calves",0.1
"5096","Weight of Livestock Slaughtered (000 Tonnes)","1990M03","Calves",0
"5097","Number of Livestock Slaughtered (000 Head)","1990M04","Calves",0.1
"5098","Weight of Livestock Slaughtered (000 Tonnes)","1990M04","Calves",0
"5099","Number of Livestock Slaughtered (000 Head)","1990M05","Calves",0.4
"5100","Weight of Livestock Slaughtered (000 Tonnes)","1990M05","Calves",0
"5101","Number of Livestock Slaughtered (000 Head)","1990M06","Calves",0.2
"5102","Weight of Livestock Slaughtered (000 Tonnes)","1990M06","Calves",0
"5103","Number of Livestock Slaughtered (000 Head)","1990M07","Calves",0.2
"5104","Weight of Livestock Slaughtered (000 Tonnes)","1990M07","Calves",0
"5105","Number of Livestock Slaughtered (000 Head)","1990M08","Calves",0.2
"5106","Weight of Livestock Slaughtered (000 Tonnes)","1990M08","Calves",0
"5107","Number of Livestock Slaughtered (000 Head)","1990M09","Calves",0.2
"5108","Weight of Livestock Slaughtered (000 Tonnes)","1990M09","Calves",0
"5109","Number of Livestock Slaughtered (000 Head)","1990M10","Calves",0.3
"5110","Weight of Livestock Slaughtered (000 Tonnes)","1990M10","Calves",0
"5111","Number of Livestock Slaughtered (000 Head)","1990M11","Calves",0.4
"5112","Weight of Livestock Slaughtered (000 Tonnes)","1990M11","Calves",0
"5113","Number of Livestock Slaughtered (000 Head)","1990M12","Calves",0.4
"5114","Weight of Livestock Slaughtered (000 Tonnes)","1990M12","Calves",0
"5115","Number of Livestock Slaughtered (000 Head)","1991M01","Calves",0.1
"5116","Weight of Livestock Slaughtered (000 Tonnes)","1991M01","Calves",0
"5117","Number of Livestock Slaughtered (000 Head)","1991M02","Calves",0.1
"5118","Weight of Livestock Slaughtered (000 Tonnes)","1991M02","Calves",0
"5119","Number of Livestock Slaughtered (000 Head)","1991M03","Calves",0.1
"5120","Weight of Livestock Slaughtered (000 Tonnes)","1991M03","Calves",0
"5121","Number of Livestock Slaughtered (000 Head)","1991M04","Calves",0.3
"5122","Weight of Livestock Slaughtered (000 Tonnes)","1991M04","Calves",0
"5123","Number of Livestock Slaughtered (000 Head)","1991M05","Calves",0.2
"5124","Weight of Livestock Slaughtered (000 Tonnes)","1991M05","Calves",0
"5125","Number of Livestock Slaughtered (000 Head)","1991M06","Calves",0.1
"5126","Weight of Livestock Slaughtered (000 Tonnes)","1991M06","Calves",0
"5127","Number of Livestock Slaughtered (000 Head)","1991M07","Calves",0.3
"5128","Weight of Livestock Slaughtered (000 Tonnes)","1991M07","Calves",0
"5129","Number of Livestock Slaughtered (000 Head)","1991M08","Calves",0.4
"5130","Weight of Livestock Slaughtered (000 Tonnes)","1991M08","Calves",0
"5131","Number of Livestock Slaughtered (000 Head)","1991M09","Calves",0.3
"5132","Weight of Livestock Slaughtered (000 Tonnes)","1991M09","Calves",0
"5133","Number of Livestock Slaughtered (000 Head)","1991M10","Calves",0.5
"5134","Weight of Livestock Slaughtered (000 Tonnes)","1991M10","Calves",0.1
"5135","Number of Livestock Slaughtered (000 Head)","1991M11","Calves",0.3
"5136","Weight of Livestock Slaughtered (000 Tonnes)","1991M11","Calves",0
"5137","Number of Livestock Slaughtered (000 Head)","1991M12","Calves",0.2
"5138","Weight of Livestock Slaughtered (000 Tonnes)","1991M12","Calves",0
"5139","Number of Livestock Slaughtered (000 Head)","1992M01","Calves",0.2
"5140","Weight of Livestock Slaughtered (000 Tonnes)","1992M01","Calves",0
"5141","Number of Livestock Slaughtered (000 Head)","1992M02","Calves",0.1
"5142","Weight of Livestock Slaughtered (000 Tonnes)","1992M02","Calves",0
"5143","Number of Livestock Slaughtered (000 Head)","1992M03","Calves",0.1
"5144","Weight of Livestock Slaughtered (000 Tonnes)","1992M03","Calves",0
"5145","Number of Livestock Slaughtered (000 Head)","1992M04","Calves",0.3
"5146","Weight of Livestock Slaughtered (000 Tonnes)","1992M04","Calves",0
"5147","Number of Livestock Slaughtered (000 Head)","1992M05","Calves",0
"5148","Weight of Livestock Slaughtered (000 Tonnes)","1992M05","Calves",0
"5149","Number of Livestock Slaughtered (000 Head)","1992M06","Calves",0.1
"5150","Weight of Livestock Slaughtered (000 Tonnes)","1992M06","Calves",0
"5151","Number of Livestock Slaughtered (000 Head)","1992M07","Calves",0.1
"5152","Weight of Livestock Slaughtered (000 Tonnes)","1992M07","Calves",0
"5153","Number of Livestock Slaughtered (000 Head)","1992M08","Calves",0.1
"5154","Weight of Livestock Slaughtered (000 Tonnes)","1992M08","Calves",0
"5155","Number of Livestock Slaughtered (000 Head)","1992M09","Calves",0
"5156","Weight of Livestock Slaughtered (000 Tonnes)","1992M09","Calves",0
"5157","Number of Livestock Slaughtered (000 Head)","1992M10","Calves",0
"5158","Weight of Livestock Slaughtered (000 Tonnes)","1992M10","Calves",0
"5159","Number of Livestock Slaughtered (000 Head)","1992M11","Calves",0
"5160","Weight of Livestock Slaughtered (000 Tonnes)","1992M11","Calves",0
"5161","Number of Livestock Slaughtered (000 Head)","1992M12","Calves",0
"5162","Weight of Livestock Slaughtered (000 Tonnes)","1992M12","Calves",0
"5163","Number of Livestock Slaughtered (000 Head)","1993M01","Calves",0
"5164","Weight of Livestock Slaughtered (000 Tonnes)","1993M01","Calves",0
"5165","Number of Livestock Slaughtered (000 Head)","1993M02","Calves",0
"5166","Weight of Livestock Slaughtered (000 Tonnes)","1993M02","Calves",0
"5167","Number of Livestock Slaughtered (000 Head)","1993M03","Calves",0
"5168","Weight of Livestock Slaughtered (000 Tonnes)","1993M03","Calves",0
"5169","Number of Livestock Slaughtered (000 Head)","1993M04","Calves",0
"5170","Weight of Livestock Slaughtered (000 Tonnes)","1993M04","Calves",0
"5171","Number of Livestock Slaughtered (000 Head)","1993M05","Calves",0.1
"5172","Weight of Livestock Slaughtered (000 Tonnes)","1993M05","Calves",0
"5173","Number of Livestock Slaughtered (000 Head)","1993M06","Calves",0.1
"5174","Weight of Livestock Slaughtered (000 Tonnes)","1993M06","Calves",0
"5175","Number of Livestock Slaughtered (000 Head)","1993M07","Calves",0
"5176","Weight of Livestock Slaughtered (000 Tonnes)","1993M07","Calves",0
"5177","Number of Livestock Slaughtered (000 Head)","1993M08","Calves",0
"5178","Weight of Livestock Slaughtered (000 Tonnes)","1993M08","Calves",0
"5179","Number of Livestock Slaughtered (000 Head)","1993M09","Calves",0
"5180","Weight of Livestock Slaughtered (000 Tonnes)","1993M09","Calves",0
"5181","Number of Livestock Slaughtered (000 Head)","1993M10","Calves",0
"5182","Weight of Livestock Slaughtered (000 Tonnes)","1993M10","Calves",0
"5183","Number of Livestock Slaughtered (000 Head)","1993M11","Calves",0
"5184","Weight of Livestock Slaughtered (000 Tonnes)","1993M11","Calves",0
"5185","Number of Livestock Slaughtered (000 Head)","1993M12","Calves",0
"5186","Weight of Livestock Slaughtered (000 Tonnes)","1993M12","Calves",0
"5187","Number of Livestock Slaughtered (000 Head)","1994M01","Calves",0.1
"5188","Weight of Livestock Slaughtered (000 Tonnes)","1994M01","Calves",0
"5189","Number of Livestock Slaughtered (000 Head)","1994M02","Calves",0
"5190","Weight of Livestock Slaughtered (000 Tonnes)","1994M02","Calves",0
"5191","Number of Livestock Slaughtered (000 Head)","1994M03","Calves",0
"5192","Weight of Livestock Slaughtered (000 Tonnes)","1994M03","Calves",0
"5193","Number of Livestock Slaughtered (000 Head)","1994M04","Calves",0
"5194","Weight of Livestock Slaughtered (000 Tonnes)","1994M04","Calves",0
"5195","Number of Livestock Slaughtered (000 Head)","1994M05","Calves",0.1
"5196","Weight of Livestock Slaughtered (000 Tonnes)","1994M05","Calves",0
