"","Statistic","Month","Type.of.Cattle","value"
"308","Cattle Price per 100 Kg (Euro)","1988M10","Bullocks 200-249kg",232.5
"309","Cattle Price per Head (Euro)","1988M11","Bullocks 200-249kg",525.18
"310","Cattle Price per 100 Kg (Euro)","1988M11","Bullocks 200-249kg",231.02
"311","Cattle Price per Head (Euro)","1988M12","Bullocks 200-249kg",537.26
"312","Cattle Price per 100 Kg (Euro)","1988M12","Bullocks 200-249kg",237.62
"313","Cattle Price per Head (Euro)","1989M01","Bullocks 200-249kg",578.96
"314","Cattle Price per 100 Kg (Euro)","1989M01","Bullocks 200-249kg",251.84
"315","Cattle Price per Head (Euro)","1989M02","Bullocks 200-249kg",581.62
"316","Cattle Price per 100 Kg (Euro)","1989M02","Bullocks 200-249kg",254.51
"317","Cattle Price per Head (Euro)","1989M03","Bullocks 200-249kg",589.29
"318","Cattle Price per 100 Kg (Euro)","1989M03","Bullocks 200-249kg",262.54
"319","Cattle Price per Head (Euro)","1989M04","Bullocks 200-249kg",593.4
"320","Cattle Price per 100 Kg (Euro)","1989M04","Bullocks 200-249kg",262.89
"321","Cattle Price per Head (Euro)","1989M05","Bullocks 200-249kg",579.18
"322","Cattle Price per 100 Kg (Euro)","1989M05","Bullocks 200-249kg",252.93
"323","Cattle Price per Head (Euro)","1989M06","Bullocks 200-249kg",569.85
"324","Cattle Price per 100 Kg (Euro)","1989M06","Bullocks 200-249kg",250.05
"325","Cattle Price per Head (Euro)","1989M07","Bullocks 200-249kg",516.3
"326","Cattle Price per 100 Kg (Euro)","1989M07","Bullocks 200-249kg",235.87
"327","Cattle Price per Head (Euro)","1989M08","Bullocks 200-249kg",461.59
"328","Cattle Price per 100 Kg (Euro)","1989M08","Bullocks 200-249kg",204.29
"329","Cattle Price per Head (Euro)","1989M09","Bullocks 200-249kg",487.63
"330","Cattle Price per 100 Kg (Euro)","1989M09","Bullocks 200-249kg",213.86
"331","Cattle Price per Head (Euro)","1989M10","Bullocks 200-249kg",499.07
"332","Cattle Price per 100 Kg (Euro)","1989M10","Bullocks 200-249kg",219.32
"333","Cattle Price per Head (Euro)","1989M11","Bullocks 200-249kg",472.53
"334","Cattle Price per 100 Kg (Euro)","1989M11","Bullocks 200-249kg",211.84
"335","Cattle Price per Head (Euro)","1989M12","Bullocks 200-249kg",451.86
"336","Cattle Price per 100 Kg (Euro)","1989M12","Bullocks 200-249kg",198.22
"337","Cattle Price per Head (Euro)","1990M01","Bullocks 200-249kg",441.51
"338","Cattle Price per 100 Kg (Euro)","1990M01","Bullocks 200-249kg",197.14
