"","Statistic","Month","Type.of.Cattle","value"
"1042","Cattle Price per 100 Kg (Euro)","1981M01","Bullocks 250-299kg",121.36
"1043","Cattle Price per Head (Euro)","1981M02","Bullocks 250-299kg",344.66
"1044","Cattle Price per 100 Kg (Euro)","1981M02","Bullocks 250-299kg",126.47
"1045","Cattle Price per Head (Euro)","1981M03","Bullocks 250-299kg",363.03
"1046","Cattle Price per 100 Kg (Euro)","1981M03","Bullocks 250-299kg",133.27
"1047","Cattle Price per Head (Euro)","1981M04","Bullocks 250-299kg",387.13
"1048","Cattle Price per 100 Kg (Euro)","1981M04","Bullocks 250-299kg",141.88
"1049","Cattle Price per Head (Euro)","1981M05","Bullocks 250-299kg",358.94
"1050","Cattle Price per 100 Kg (Euro)","1981M05","Bullocks 250-299kg",131.46
"1051","Cattle Price per Head (Euro)","1981M06","Bullocks 250-299kg",337.7
"1052","Cattle Price per 100 Kg (Euro)","1981M06","Bullocks 250-299kg",123.34
"1053","Cattle Price per Head (Euro)","1981M07","Bullocks 250-299kg",342.31
"1054","Cattle Price per 100 Kg (Euro)","1981M07","Bullocks 250-299kg",124.56
"1055","Cattle Price per Head (Euro)","1981M08","Bullocks 250-299kg",357.14
"1056","Cattle Price per 100 Kg (Euro)","1981M08","Bullocks 250-299kg",129.15
"1057","Cattle Price per Head (Euro)","1981M09","Bullocks 250-299kg",350.94
"1058","Cattle Price per 100 Kg (Euro)","1981M09","Bullocks 250-299kg",126.9
"1059","Cattle Price per Head (Euro)","1981M10","Bullocks 250-299kg",349
"1060","Cattle Price per 100 Kg (Euro)","1981M10","Bullocks 250-299kg",126.54
"1061","Cattle Price per Head (Euro)","1981M11","Bullocks 250-299kg",360.66
"1062","Cattle Price per 100 Kg (Euro)","1981M11","Bullocks 250-299kg",130.81
"1063","Cattle Price per Head (Euro)","1981M12","Bullocks 250-299kg",377.44
"1064","Cattle Price per 100 Kg (Euro)","1981M12","Bullocks 250-299kg",136.66
"1065","Cattle Price per Head (Euro)","1982M01","Bullocks 250-299kg",404.41
"1066","Cattle Price per 100 Kg (Euro)","1982M01","Bullocks 250-299kg",146.45
"1067","Cattle Price per Head (Euro)","1982M02","Bullocks 250-299kg",409.24
"1068","Cattle Price per 100 Kg (Euro)","1982M02","Bullocks 250-299kg",150.1
"1069","Cattle Price per Head (Euro)","1982M03","Bullocks 250-299kg",425.48
"1070","Cattle Price per 100 Kg (Euro)","1982M03","Bullocks 250-299kg",154.78
"1071","Cattle Price per Head (Euro)","1982M04","Bullocks 250-299kg",431.44
"1072","Cattle Price per 100 Kg (Euro)","1982M04","Bullocks 250-299kg",158.6
"1073","Cattle Price per Head (Euro)","1982M05","Bullocks 250-299kg",425.29
"1074","Cattle Price per 100 Kg (Euro)","1982M05","Bullocks 250-299kg",156.44
"1075","Cattle Price per Head (Euro)","1982M06","Bullocks 250-299kg",440.32
"1076","Cattle Price per 100 Kg (Euro)","1982M06","Bullocks 250-299kg",160.09
"1077","Cattle Price per Head (Euro)","1982M07","Bullocks 250-299kg",409.07
"1078","Cattle Price per 100 Kg (Euro)","1982M07","Bullocks 250-299kg",149.27
"1079","Cattle Price per Head (Euro)","1982M08","Bullocks 250-299kg",408.33
"1080","Cattle Price per 100 Kg (Euro)","1982M08","Bullocks 250-299kg",147.38
"1081","Cattle Price per Head (Euro)","1982M09","Bullocks 250-299kg",399.9
"1082","Cattle Price per 100 Kg (Euro)","1982M09","Bullocks 250-299kg",144.71
"1083","Cattle Price per Head (Euro)","1982M10","Bullocks 250-299kg",394.04
"1084","Cattle Price per 100 Kg (Euro)","1982M10","Bullocks 250-299kg",142.66
"1085","Cattle Price per Head (Euro)","1982M11","Bullocks 250-299kg",390.94
"1086","Cattle Price per 100 Kg (Euro)","1982M11","Bullocks 250-299kg",141.78
"1087","Cattle Price per Head (Euro)","1982M12","Bullocks 250-299kg",382.75
"1088","Cattle Price per 100 Kg (Euro)","1982M12","Bullocks 250-299kg",139.09
"1089","Cattle Price per Head (Euro)","1983M01","Bullocks 250-299kg",424.83
"1090","Cattle Price per 100 Kg (Euro)","1983M01","Bullocks 250-299kg",155.52
"1091","Cattle Price per Head (Euro)","1983M02","Bullocks 250-299kg",437.09
"1092","Cattle Price per 100 Kg (Euro)","1983M02","Bullocks 250-299kg",160.39
"1093","Cattle Price per Head (Euro)","1983M03","Bullocks 250-299kg",464.13
"1094","Cattle Price per 100 Kg (Euro)","1983M03","Bullocks 250-299kg",169.48
"1095","Cattle Price per Head (Euro)","1983M04","Bullocks 250-299kg",462.06
"1096","Cattle Price per 100 Kg (Euro)","1983M04","Bullocks 250-299kg",169.03
"1097","Cattle Price per Head (Euro)","1983M05","Bullocks 250-299kg",462.58
"1098","Cattle Price per 100 Kg (Euro)","1983M05","Bullocks 250-299kg",169.4
"1099","Cattle Price per Head (Euro)","1983M06","Bullocks 250-299kg",470.82
"1100","Cattle Price per 100 Kg (Euro)","1983M06","Bullocks 250-299kg",171.94
"1101","Cattle Price per Head (Euro)","1983M07","Bullocks 250-299kg",467.66
"1102","Cattle Price per 100 Kg (Euro)","1983M07","Bullocks 250-299kg",169.73
"1103","Cattle Price per Head (Euro)","1983M08","Bullocks 250-299kg",453.33
"1104","Cattle Price per 100 Kg (Euro)","1983M08","Bullocks 250-299kg",163.42
"1105","Cattle Price per Head (Euro)","1983M09","Bullocks 250-299kg",441.32
"1106","Cattle Price per 100 Kg (Euro)","1983M09","Bullocks 250-299kg",159.17
"1107","Cattle Price per Head (Euro)","1983M10","Bullocks 250-299kg",423.47
"1108","Cattle Price per 100 Kg (Euro)","1983M10","Bullocks 250-299kg",152.69
"1109","Cattle Price per Head (Euro)","1983M11","Bullocks 250-299kg",422.76
"1110","Cattle Price per 100 Kg (Euro)","1983M11","Bullocks 250-299kg",153.04
"1111","Cattle Price per Head (Euro)","1983M12","Bullocks 250-299kg",421.07
"1112","Cattle Price per 100 Kg (Euro)","1983M12","Bullocks 250-299kg",152.67
"1113","Cattle Price per Head (Euro)","1984M01","Bullocks 250-299kg",432.04
"1114","Cattle Price per 100 Kg (Euro)","1984M01","Bullocks 250-299kg",160.33
"1115","Cattle Price per Head (Euro)","1984M02","Bullocks 250-299kg",483.54
"1116","Cattle Price per 100 Kg (Euro)","1984M02","Bullocks 250-299kg",176.86
"1117","Cattle Price per Head (Euro)","1984M03","Bullocks 250-299kg",512.29
"1118","Cattle Price per 100 Kg (Euro)","1984M03","Bullocks 250-299kg",187.12
"1119","Cattle Price per Head (Euro)","1984M04","Bullocks 250-299kg",508.5
"1120","Cattle Price per 100 Kg (Euro)","1984M04","Bullocks 250-299kg",185.25
"1121","Cattle Price per Head (Euro)","1984M05","Bullocks 250-299kg",510.46
"1122","Cattle Price per 100 Kg (Euro)","1984M05","Bullocks 250-299kg",185.99
"1123","Cattle Price per Head (Euro)","1984M06","Bullocks 250-299kg",479.74
"1124","Cattle Price per 100 Kg (Euro)","1984M06","Bullocks 250-299kg",175.03
"1125","Cattle Price per Head (Euro)","1984M07","Bullocks 250-299kg",454.55
"1126","Cattle Price per 100 Kg (Euro)","1984M07","Bullocks 250-299kg",164.49
"1127","Cattle Price per Head (Euro)","1984M08","Bullocks 250-299kg",439.14
"1128","Cattle Price per 100 Kg (Euro)","1984M08","Bullocks 250-299kg",159.48
"1129","Cattle Price per Head (Euro)","1984M09","Bullocks 250-299kg",425.03
"1130","Cattle Price per 100 Kg (Euro)","1984M09","Bullocks 250-299kg",152.97
"1131","Cattle Price per Head (Euro)","1984M10","Bullocks 250-299kg",431.01
"1132","Cattle Price per 100 Kg (Euro)","1984M10","Bullocks 250-299kg",156.37
"1133","Cattle Price per Head (Euro)","1984M11","Bullocks 250-299kg",443.61
"1134","Cattle Price per 100 Kg (Euro)","1984M11","Bullocks 250-299kg",159.94
"1135","Cattle Price per Head (Euro)","1984M12","Bullocks 250-299kg",462.82
"1136","Cattle Price per 100 Kg (Euro)","1984M12","Bullocks 250-299kg",168.16
"1137","Cattle Price per Head (Euro)","1985M01","Bullocks 250-299kg",496.01
"1138","Cattle Price per 100 Kg (Euro)","1985M01","Bullocks 250-299kg",182.82
"1139","Cattle Price per Head (Euro)","1985M02","Bullocks 250-299kg",515.72
"1140","Cattle Price per 100 Kg (Euro)","1985M02","Bullocks 250-299kg",190.17
"1141","Cattle Price per Head (Euro)","1985M03","Bullocks 250-299kg",519.11
"1142","Cattle Price per 100 Kg (Euro)","1985M03","Bullocks 250-299kg",190.94
"1143","Cattle Price per Head (Euro)","1985M04","Bullocks 250-299kg",527.13
"1144","Cattle Price per 100 Kg (Euro)","1985M04","Bullocks 250-299kg",191.43
"1145","Cattle Price per Head (Euro)","1985M05","Bullocks 250-299kg",510.65
"1146","Cattle Price per 100 Kg (Euro)","1985M05","Bullocks 250-299kg",186.19
"1147","Cattle Price per Head (Euro)","1985M06","Bullocks 250-299kg",497.29
"1148","Cattle Price per 100 Kg (Euro)","1985M06","Bullocks 250-299kg",181.93
"1149","Cattle Price per Head (Euro)","1985M07","Bullocks 250-299kg",474.03
"1150","Cattle Price per 100 Kg (Euro)","1985M07","Bullocks 250-299kg",172.29
"1151","Cattle Price per Head (Euro)","1985M08","Bullocks 250-299kg",422.78
"1152","Cattle Price per 100 Kg (Euro)","1985M08","Bullocks 250-299kg",152.6
"1153","Cattle Price per Head (Euro)","1985M09","Bullocks 250-299kg",392.2
"1154","Cattle Price per 100 Kg (Euro)","1985M09","Bullocks 250-299kg",142.11
"1155","Cattle Price per Head (Euro)","1985M10","Bullocks 250-299kg",420.23
"1156","Cattle Price per 100 Kg (Euro)","1985M10","Bullocks 250-299kg",152
"1157","Cattle Price per Head (Euro)","1985M11","Bullocks 250-299kg",442.74
"1158","Cattle Price per 100 Kg (Euro)","1985M11","Bullocks 250-299kg",159.62
"1159","Cattle Price per Head (Euro)","1985M12","Bullocks 250-299kg",448.81
"1160","Cattle Price per 100 Kg (Euro)","1985M12","Bullocks 250-299kg",161.52
"1161","Cattle Price per Head (Euro)","1986M01","Bullocks 250-299kg",470.25
"1162","Cattle Price per 100 Kg (Euro)","1986M01","Bullocks 250-299kg",173.85
"1163","Cattle Price per Head (Euro)","1986M02","Bullocks 250-299kg",486.84
"1164","Cattle Price per 100 Kg (Euro)","1986M02","Bullocks 250-299kg",174.04
"1165","Cattle Price per Head (Euro)","1986M03","Bullocks 250-299kg",471.12
"1166","Cattle Price per 100 Kg (Euro)","1986M03","Bullocks 250-299kg",173.51
"1167","Cattle Price per Head (Euro)","1986M04","Bullocks 250-299kg",465.73
"1168","Cattle Price per 100 Kg (Euro)","1986M04","Bullocks 250-299kg",168.84
"1169","Cattle Price per Head (Euro)","1986M05","Bullocks 250-299kg",448.88
"1170","Cattle Price per 100 Kg (Euro)","1986M05","Bullocks 250-299kg",163.31
"1171","Cattle Price per Head (Euro)","1986M06","Bullocks 250-299kg",423.09
"1172","Cattle Price per 100 Kg (Euro)","1986M06","Bullocks 250-299kg",154.41
"1173","Cattle Price per Head (Euro)","1986M07","Bullocks 250-299kg",416.02
"1174","Cattle Price per 100 Kg (Euro)","1986M07","Bullocks 250-299kg",150.34
"1175","Cattle Price per Head (Euro)","1986M08","Bullocks 250-299kg",394.43
"1176","Cattle Price per 100 Kg (Euro)","1986M08","Bullocks 250-299kg",142.62
"1177","Cattle Price per Head (Euro)","1986M09","Bullocks 250-299kg",373.37
"1178","Cattle Price per 100 Kg (Euro)","1986M09","Bullocks 250-299kg",135.98
"1179","Cattle Price per Head (Euro)","1986M10","Bullocks 250-299kg",389.33
"1180","Cattle Price per 100 Kg (Euro)","1986M10","Bullocks 250-299kg",139.53
"1181","Cattle Price per Head (Euro)","1986M11","Bullocks 250-299kg",395.5
"1182","Cattle Price per 100 Kg (Euro)","1986M11","Bullocks 250-299kg",143.02
"1183","Cattle Price per Head (Euro)","1986M12","Bullocks 250-299kg",393.4
"1184","Cattle Price per 100 Kg (Euro)","1986M12","Bullocks 250-299kg",142.78
"1185","Cattle Price per Head (Euro)","1987M01","Bullocks 250-299kg",437.3
"1186","Cattle Price per 100 Kg (Euro)","1987M01","Bullocks 250-299kg",158.78
"1187","Cattle Price per Head (Euro)","1987M02","Bullocks 250-299kg",459.85
"1188","Cattle Price per 100 Kg (Euro)","1987M02","Bullocks 250-299kg",168.15
"1189","Cattle Price per Head (Euro)","1987M03","Bullocks 250-299kg",486.91
"1190","Cattle Price per 100 Kg (Euro)","1987M03","Bullocks 250-299kg",177.1
"1191","Cattle Price per Head (Euro)","1987M04","Bullocks 250-299kg",501.57
"1192","Cattle Price per 100 Kg (Euro)","1987M04","Bullocks 250-299kg",181.94
"1193","Cattle Price per Head (Euro)","1987M05","Bullocks 250-299kg",495.65
"1194","Cattle Price per 100 Kg (Euro)","1987M05","Bullocks 250-299kg",179.93
"1195","Cattle Price per Head (Euro)","1987M06","Bullocks 250-299kg",471.83
"1196","Cattle Price per 100 Kg (Euro)","1987M06","Bullocks 250-299kg",170.88
"1197","Cattle Price per Head (Euro)","1987M07","Bullocks 250-299kg",481.12
"1198","Cattle Price per 100 Kg (Euro)","1987M07","Bullocks 250-299kg",173.31
"1199","Cattle Price per Head (Euro)","1987M08","Bullocks 250-299kg",486.47
"1200","Cattle Price per 100 Kg (Euro)","1987M08","Bullocks 250-299kg",175.19
"1201","Cattle Price per Head (Euro)","1987M09","Bullocks 250-299kg",482.08
"1202","Cattle Price per 100 Kg (Euro)","1987M09","Bullocks 250-299kg",173.67
"1203","Cattle Price per Head (Euro)","1987M10","Bullocks 250-299kg",478.92
"1204","Cattle Price per 100 Kg (Euro)","1987M10","Bullocks 250-299kg",173.19
"1205","Cattle Price per Head (Euro)","1987M11","Bullocks 250-299kg",483.36
"1206","Cattle Price per 100 Kg (Euro)","1987M11","Bullocks 250-299kg",174.64
"1207","Cattle Price per Head (Euro)","1987M12","Bullocks 250-299kg",499.21
"1208","Cattle Price per 100 Kg (Euro)","1987M12","Bullocks 250-299kg",183.83
"1209","Cattle Price per Head (Euro)","1988M01","Bullocks 250-299kg",548.58
"1210","Cattle Price per 100 Kg (Euro)","1988M01","Bullocks 250-299kg",198.88
"1211","Cattle Price per Head (Euro)","1988M02","Bullocks 250-299kg",567.03
"1212","Cattle Price per 100 Kg (Euro)","1988M02","Bullocks 250-299kg",207.34
"1213","Cattle Price per Head (Euro)","1988M03","Bullocks 250-299kg",590.16
"1214","Cattle Price per 100 Kg (Euro)","1988M03","Bullocks 250-299kg",216
"1215","Cattle Price per Head (Euro)","1988M04","Bullocks 250-299kg",618.67
"1216","Cattle Price per 100 Kg (Euro)","1988M04","Bullocks 250-299kg",225.92
"1217","Cattle Price per Head (Euro)","1988M05","Bullocks 250-299kg",637.33
"1218","Cattle Price per 100 Kg (Euro)","1988M05","Bullocks 250-299kg",232.13
"1219","Cattle Price per Head (Euro)","1988M06","Bullocks 250-299kg",616.53
"1220","Cattle Price per 100 Kg (Euro)","1988M06","Bullocks 250-299kg",223
"1221","Cattle Price per Head (Euro)","1988M07","Bullocks 250-299kg",611.29
"1222","Cattle Price per 100 Kg (Euro)","1988M07","Bullocks 250-299kg",222.57
"1223","Cattle Price per Head (Euro)","1988M08","Bullocks 250-299kg",612.8
"1224","Cattle Price per 100 Kg (Euro)","1988M08","Bullocks 250-299kg",219.45
"1225","Cattle Price per Head (Euro)","1988M09","Bullocks 250-299kg",586.71
"1226","Cattle Price per 100 Kg (Euro)","1988M09","Bullocks 250-299kg",210.73
"1227","Cattle Price per Head (Euro)","1988M10","Bullocks 250-299kg",578.33
"1228","Cattle Price per 100 Kg (Euro)","1988M10","Bullocks 250-299kg",208.19
"1229","Cattle Price per Head (Euro)","1988M11","Bullocks 250-299kg",588.65
"1230","Cattle Price per 100 Kg (Euro)","1988M11","Bullocks 250-299kg",213.86
"1231","Cattle Price per Head (Euro)","1988M12","Bullocks 250-299kg",598.55
"1232","Cattle Price per 100 Kg (Euro)","1988M12","Bullocks 250-299kg",216.9
"1233","Cattle Price per Head (Euro)","1989M01","Bullocks 250-299kg",632.94
"1234","Cattle Price per 100 Kg (Euro)","1989M01","Bullocks 250-299kg",230.74
"1235","Cattle Price per Head (Euro)","1989M02","Bullocks 250-299kg",644.3
"1236","Cattle Price per 100 Kg (Euro)","1989M02","Bullocks 250-299kg",232.12
"1237","Cattle Price per Head (Euro)","1989M03","Bullocks 250-299kg",659.41
"1238","Cattle Price per 100 Kg (Euro)","1989M03","Bullocks 250-299kg",237.71
"1239","Cattle Price per Head (Euro)","1989M04","Bullocks 250-299kg",650.54
"1240","Cattle Price per 100 Kg (Euro)","1989M04","Bullocks 250-299kg",237.9
"1241","Cattle Price per Head (Euro)","1989M05","Bullocks 250-299kg",644.09
"1242","Cattle Price per 100 Kg (Euro)","1989M05","Bullocks 250-299kg",233.94
"1243","Cattle Price per Head (Euro)","1989M06","Bullocks 250-299kg",626.74
"1244","Cattle Price per 100 Kg (Euro)","1989M06","Bullocks 250-299kg",227.41
"1245","Cattle Price per Head (Euro)","1989M07","Bullocks 250-299kg",566.52
"1246","Cattle Price per 100 Kg (Euro)","1989M07","Bullocks 250-299kg",203.65
"1247","Cattle Price per Head (Euro)","1989M08","Bullocks 250-299kg",550.32
"1248","Cattle Price per 100 Kg (Euro)","1989M08","Bullocks 250-299kg",201.04
"1249","Cattle Price per Head (Euro)","1989M09","Bullocks 250-299kg",507.51
"1250","Cattle Price per 100 Kg (Euro)","1989M09","Bullocks 250-299kg",184.14
"1251","Cattle Price per Head (Euro)","1989M10","Bullocks 250-299kg",513.66
"1252","Cattle Price per 100 Kg (Euro)","1989M10","Bullocks 250-299kg",184.29
"1253","Cattle Price per Head (Euro)","1989M11","Bullocks 250-299kg",485.07
"1254","Cattle Price per 100 Kg (Euro)","1989M11","Bullocks 250-299kg",174.82
"1255","Cattle Price per Head (Euro)","1989M12","Bullocks 250-299kg",499.98
"1256","Cattle Price per 100 Kg (Euro)","1989M12","Bullocks 250-299kg",178.08
"1257","Cattle Price per Head (Euro)","1990M01","Bullocks 250-299kg",489.08
"1258","Cattle Price per 100 Kg (Euro)","1990M01","Bullocks 250-299kg",175.72
"1259","Cattle Price per Head (Euro)","1990M02","Bullocks 250-299kg",503.92
"1260","Cattle Price per 100 Kg (Euro)","1990M02","Bullocks 250-299kg",182.79
"1261","Cattle Price per Head (Euro)","1990M03","Bullocks 250-299kg",544.58
"1262","Cattle Price per 100 Kg (Euro)","1990M03","Bullocks 250-299kg",197.67
"1263","Cattle Price per Head (Euro)","1990M04","Bullocks 250-299kg",533.1
"1264","Cattle Price per 100 Kg (Euro)","1990M04","Bullocks 250-299kg",193.88
"1265","Cattle Price per Head (Euro)","1990M05","Bullocks 250-299kg",518.98
"1266","Cattle Price per 100 Kg (Euro)","1990M05","Bullocks 250-299kg",186.66
"1267","Cattle Price per Head (Euro)","1990M06","Bullocks 250-299kg",498.69
"1268","Cattle Price per 100 Kg (Euro)","1990M06","Bullocks 250-299kg",178.93
"1269","Cattle Price per Head (Euro)","1990M07","Bullocks 250-299kg",446.74
"1270","Cattle Price per 100 Kg (Euro)","1990M07","Bullocks 250-299kg",164.51
"1271","Cattle Price per Head (Euro)","1990M08","Bullocks 250-299kg",420.99
"1272","Cattle Price per 100 Kg (Euro)","1990M08","Bullocks 250-299kg",153.18
"1273","Cattle Price per Head (Euro)","1990M09","Bullocks 250-299kg",431.1
"1274","Cattle Price per 100 Kg (Euro)","1990M09","Bullocks 250-299kg",154.62
"1275","Cattle Price per Head (Euro)","1990M10","Bullocks 250-299kg",422.1
"1276","Cattle Price per 100 Kg (Euro)","1990M10","Bullocks 250-299kg",153.49
"1277","Cattle Price per Head (Euro)","1990M11","Bullocks 250-299kg",442.41
"1278","Cattle Price per 100 Kg (Euro)","1990M11","Bullocks 250-299kg",160.05
"1279","Cattle Price per Head (Euro)","1990M12","Bullocks 250-299kg",412.79
"1280","Cattle Price per 100 Kg (Euro)","1990M12","Bullocks 250-299kg",151.59
"1281","Cattle Price per Head (Euro)","1991M01","Bullocks 250-299kg",448.37
"1282","Cattle Price per 100 Kg (Euro)","1991M01","Bullocks 250-299kg",165.87
"1283","Cattle Price per Head (Euro)","1991M02","Bullocks 250-299kg",458.87
"1284","Cattle Price per 100 Kg (Euro)","1991M02","Bullocks 250-299kg",167.92
"1285","Cattle Price per Head (Euro)","1991M03","Bullocks 250-299kg",458.16
"1286","Cattle Price per 100 Kg (Euro)","1991M03","Bullocks 250-299kg",166.06
"1287","Cattle Price per Head (Euro)","1991M04","Bullocks 250-299kg",457.16
"1288","Cattle Price per 100 Kg (Euro)","1991M04","Bullocks 250-299kg",166.27
"1289","Cattle Price per Head (Euro)","1991M05","Bullocks 250-299kg",469.57
"1290","Cattle Price per 100 Kg (Euro)","1991M05","Bullocks 250-299kg",170.42
"1291","Cattle Price per Head (Euro)","1991M06","Bullocks 250-299kg",459.26
"1292","Cattle Price per 100 Kg (Euro)","1991M06","Bullocks 250-299kg",165.32
"1293","Cattle Price per Head (Euro)","1991M07","Bullocks 250-299kg",411.41
