"","Statistic","Year","Type.of.Cattle","value"
"328","Cattle Price per 100 Kg (Euro)","1987","Bullocks 400-449kg",160.77
"329","Cattle Price per Head (Euro)","1988","Bullocks 400-449kg",781.21
"330","Cattle Price per 100 Kg (Euro)","1988","Bullocks 400-449kg",184.91
"331","Cattle Price per Head (Euro)","1989","Bullocks 400-449kg",749.09
"332","Cattle Price per 100 Kg (Euro)","1989","Bullocks 400-449kg",177.14
"333","Cattle Price per Head (Euro)","1990","Bullocks 400-449kg",662.17
"334","Cattle Price per 100 Kg (Euro)","1990","Bullocks 400-449kg",156.57
"335","Cattle Price per Head (Euro)","1991","Bullocks 400-449kg",636.18
"336","Cattle Price per 100 Kg (Euro)","1991","Bullocks 400-449kg",150.21
"337","Cattle Price per Head (Euro)","1992","Bullocks 400-449kg",639.68
"338","Cattle Price per 100 Kg (Euro)","1992","Bullocks 400-449kg",151.16
"339","Cattle Price per Head (Euro)","1993","Bullocks 400-449kg",698.58
"340","Cattle Price per 100 Kg (Euro)","1993","Bullocks 400-449kg",165.18
"341","Cattle Price per Head (Euro)","1994","Bullocks 400-449kg",723.84
"342","Cattle Price per 100 Kg (Euro)","1994","Bullocks 400-449kg",170.21
"343","Cattle Price per Head (Euro)","1995","Bullocks 400-449kg",704.98
"344","Cattle Price per 100 Kg (Euro)","1995","Bullocks 400-449kg",166.37
"345","Cattle Price per Head (Euro)","1996","Bullocks 400-449kg",610.81
"346","Cattle Price per 100 Kg (Euro)","1996","Bullocks 400-449kg",144.43
"347","Cattle Price per Head (Euro)","1997","Bullocks 400-449kg",601.4
"348","Cattle Price per 100 Kg (Euro)","1997","Bullocks 400-449kg",141.9
"349","Cattle Price per Head (Euro)","1998","Bullocks 400-449kg",555.78
"350","Cattle Price per 100 Kg (Euro)","1998","Bullocks 400-449kg",131.05
"351","Cattle Price per Head (Euro)","1999","Bullocks 400-449kg",527.39
"352","Cattle Price per 100 Kg (Euro)","1999","Bullocks 400-449kg",124.45
"353","Cattle Price per Head (Euro)","2000","Bullocks 400-449kg",650.47
"354","Cattle Price per 100 Kg (Euro)","2000","Bullocks 400-449kg",153.33
"355","Cattle Price per Head (Euro)","2001","Bullocks 400-449kg",631.83
