"","Region","Year","Type.of.Animal","value"
"3625","State","1984","Other pigs",918.8
"3626","Midlands and East","1984","Other pigs",136.7
"3627","South-East (IRL)","1984","Other pigs",259.4
"3628","South-West (IRL)","1984","Other pigs",240.5
"3629","West","1984","Other pigs",43.4
"3630","North West","1984","Other pigs",238.7
"3631","State","1985","Other pigs",887.1
"3632","Midlands and East","1985","Other pigs",132.3
"3633","South-East (IRL)","1985","Other pigs",251.2
"3634","South-West (IRL)","1985","Other pigs",228.9
"3635","West","1985","Other pigs",41
"3636","North West","1985","Other pigs",233.8
"3637","State","1986","Other pigs",886
"3638","Midlands and East","1986","Other pigs",120.2
"3639","South-East (IRL)","1986","Other pigs",262.7
"3640","South-West (IRL)","1986","Other pigs",228.3
"3641","West","1986","Other pigs",43.4
"3642","North West","1986","Other pigs",231.4
"3643","State","1987","Other pigs",887.1
"3644","Midlands and East","1987","Other pigs",119.4
"3645","South-East (IRL)","1987","Other pigs",260.4
"3646","South-West (IRL)","1987","Other pigs",227.8
"3647","West","1987","Other pigs",40.6
"3648","North West","1987","Other pigs",239
"3649","State","1988","Other pigs",893.5
"3650","Midlands and East","1988","Other pigs",130.9
"3651","South-East (IRL)","1988","Other pigs",258
"3652","South-West (IRL)","1988","Other pigs",217.4
"3653","West","1988","Other pigs",39.6
"3654","North West","1988","Other pigs",247.4
"3655","State","1989","Other pigs",940.7
"3656","Midlands and East","1989","Other pigs",149.5
"3657","South-East (IRL)","1989","Other pigs",266.3
"3658","South-West (IRL)","1989","Other pigs",230.4
"3659","West","1989","Other pigs",38.7
"3660","North West","1989","Other pigs",255.8
"3661","State","1990","Other pigs",1042.7
"3662","Midlands and East","1990","Other pigs",202.4
"3663","South-East (IRL)","1990","Other pigs",273.7
"3664","South-West (IRL)","1990","Other pigs",246
"3665","West","1990","Other pigs",43.2
"3666","North West","1990","Other pigs",277.5
"3667","State","1991","Other pigs",1142.6
"3668","Midlands and East","1991","Other pigs",242.3
"3669","South-East (IRL)","1991","Other pigs",289.7
"3670","South-West (IRL)","1991","Other pigs",266.1
"3671","West","1991","Other pigs",48.4
"3672","North West","1991","Other pigs",296.2
"3673","State","1992","Other pigs",1212.2
"3674","Midlands and East","1992","Other pigs",251.8
"3675","South-East (IRL)","1992","Other pigs",313.1
"3676","South-West (IRL)","1992","Other pigs",277.1
"3677","West","1992","Other pigs",61.2
"3678","North West","1992","Other pigs",308.8
"3679","State","1993","Other pigs",1341.9
"3680","Midlands and East","1993","Other pigs",170.7
"3681","South-East (IRL)","1993","Other pigs",330.5
"3682","South-West (IRL)","1993","Other pigs",357.5
"3683","West","1993","Other pigs",55.9
"3684","North West","1993","Other pigs",427.4
"3685","State","1994","Other pigs",1354.6
"3686","Midlands and East","1994","Other pigs",187.4
"3687","South-East (IRL)","1994","Other pigs",323.5
"3688","South-West (IRL)","1994","Other pigs",352.5
"3689","West","1994","Other pigs",60.5
"3690","North West","1994","Other pigs",430.6
"3691","State","1995","Other pigs",1375.7
"3692","Midlands and East","1995","Other pigs",230
"3693","South-East (IRL)","1995","Other pigs",335.6
"3694","South-West (IRL)","1995","Other pigs",349.2
"3695","West","1995","Other pigs",47.1
"3696","North West","1995","Other pigs",413.7
"3697","State","1996","Other pigs",1437.5
"3698","Midlands and East","1996","Other pigs",243.8
"3699","South-East (IRL)","1996","Other pigs",361
"3700","South-West (IRL)","1996","Other pigs",367.8
"3701","West","1996","Other pigs",59.4
"3702","North West","1996","Other pigs",405.5
"3703","State","1997","Other pigs",1507.8
"3704","Midlands and East","1997","Other pigs",250.2
"3705","South-East (IRL)","1997","Other pigs",376.7
"3706","South-West (IRL)","1997","Other pigs",423
"3707","West","1997","Other pigs",67.1
"3708","North West","1997","Other pigs",390.6
"3709","State","1998","Other pigs",1618.7
"3710","Midlands and East","1998","Other pigs",251.6
"3711","South-East (IRL)","1998","Other pigs",390.1
"3712","South-West (IRL)","1998","Other pigs",430.9
"3713","West","1998","Other pigs",62.7
"3714","North West","1998","Other pigs",483.5
"3715","State","1999","Other pigs",1594.2
"3716","Midlands and East","1999","Other pigs",261.6
"3717","South-East (IRL)","1999","Other pigs",391.5
"3718","South-West (IRL)","1999","Other pigs",430.3
"3719","West","1999","Other pigs",66.6
"3720","North West","1999","Other pigs",444.2
"3721","State","1980","Other pigs: 20kg and over",680.3
"3722","Midlands and East","1980","Other pigs: 20kg and over",94
"3723","South-East (IRL)","1980","Other pigs: 20kg and over",199.9
"3724","South-West (IRL)","1980","Other pigs: 20kg and over",175.1
"3725","West","1980","Other pigs: 20kg and over",32.5
"3726","North West","1980","Other pigs: 20kg and over",178.8
"3727","State","1981","Other pigs: 20kg and over",665.6
"3728","Midlands and East","1981","Other pigs: 20kg and over",89.6
"3729","South-East (IRL)","1981","Other pigs: 20kg and over",200.7
"3730","South-West (IRL)","1981","Other pigs: 20kg and over",172.5
"3731","West","1981","Other pigs: 20kg and over",32.2
"3732","North West","1981","Other pigs: 20kg and over",170.6
"3733","State","1982","Other pigs: 20kg and over",681.5
"3734","Midlands and East","1982","Other pigs: 20kg and over",98
"3735","South-East (IRL)","1982","Other pigs: 20kg and over",197.2
"3736","South-West (IRL)","1982","Other pigs: 20kg and over",183.2
"3737","West","1982","Other pigs: 20kg and over",32.6
"3738","North West","1982","Other pigs: 20kg and over",170.5
"3739","State","1983","Other pigs: 20kg and over",710.6
"3740","Midlands and East","1983","Other pigs: 20kg and over",99.9
"3741","South-East (IRL)","1983","Other pigs: 20kg and over",197
"3742","South-West (IRL)","1983","Other pigs: 20kg and over",186.1
"3743","West","1983","Other pigs: 20kg and over",32.6
"3744","North West","1983","Other pigs: 20kg and over",195
"3745","State","1984","Other pigs: 20kg and over",685.8
"3746","Midlands and East","1984","Other pigs: 20kg and over",103.9
"3747","South-East (IRL)","1984","Other pigs: 20kg and over",195.8
"3748","South-West (IRL)","1984","Other pigs: 20kg and over",182.7
"3749","West","1984","Other pigs: 20kg and over",32.4
"3750","North West","1984","Other pigs: 20kg and over",170.9
"3751","State","1985","Other pigs: 20kg and over",654.1
"3752","Midlands and East","1985","Other pigs: 20kg and over",100.5
"3753","South-East (IRL)","1985","Other pigs: 20kg and over",191.6
"3754","South-West (IRL)","1985","Other pigs: 20kg and over",172.8
"3755","West","1985","Other pigs: 20kg and over",29.6
"3756","North West","1985","Other pigs: 20kg and over",159.6
"3757","State","1986","Other pigs: 20kg and over",655.5
"3758","Midlands and East","1986","Other pigs: 20kg and over",89.5
"3759","South-East (IRL)","1986","Other pigs: 20kg and over",201.7
"3760","South-West (IRL)","1986","Other pigs: 20kg and over",169.8
"3761","West","1986","Other pigs: 20kg and over",30.3
"3762","North West","1986","Other pigs: 20kg and over",164.2
"3763","State","1987","Other pigs: 20kg and over",660.7
"3764","Midlands and East","1987","Other pigs: 20kg and over",89.7
"3765","South-East (IRL)","1987","Other pigs: 20kg and over",200.6
"3766","South-West (IRL)","1987","Other pigs: 20kg and over",172.5
"3767","West","1987","Other pigs: 20kg and over",27.2
"3768","North West","1987","Other pigs: 20kg and over",170.7
"3769","State","1988","Other pigs: 20kg and over",652.7
"3770","Midlands and East","1988","Other pigs: 20kg and over",99.6
"3771","South-East (IRL)","1988","Other pigs: 20kg and over",188.7
"3772","South-West (IRL)","1988","Other pigs: 20kg and over",162.6
"3773","West","1988","Other pigs: 20kg and over",25.9
"3774","North West","1988","Other pigs: 20kg and over",175.8
"3775","State","1989","Other pigs: 20kg and over",675.3
"3776","Midlands and East","1989","Other pigs: 20kg and over",112.3
"3777","South-East (IRL)","1989","Other pigs: 20kg and over",193.9
"3778","South-West (IRL)","1989","Other pigs: 20kg and over",164.1
"3779","West","1989","Other pigs: 20kg and over",24.7
"3780","North West","1989","Other pigs: 20kg and over",180.3
"3781","State","1990","Other pigs: 20kg and over",738.3
"3782","Midlands and East","1990","Other pigs: 20kg and over",146.3
"3783","South-East (IRL)","1990","Other pigs: 20kg and over",197.7
"3784","South-West (IRL)","1990","Other pigs: 20kg and over",172.4
"3785","West","1990","Other pigs: 20kg and over",26.5
"3786","North West","1990","Other pigs: 20kg and over",195.5
"3787","State","1991","Other pigs: 20kg and over",791.6
"3788","Midlands and East","1991","Other pigs: 20kg and over",166.8
"3789","South-East (IRL)","1991","Other pigs: 20kg and over",201.1
"3790","South-West (IRL)","1991","Other pigs: 20kg and over",187.3
"3791","West","1991","Other pigs: 20kg and over",28.9
"3792","North West","1991","Other pigs: 20kg and over",207.6
"3793","State","1992","Other pigs: 20kg and over",825.9
"3794","Midlands and East","1992","Other pigs: 20kg and over",172.1
"3795","South-East (IRL)","1992","Other pigs: 20kg and over",214.3
"3796","South-West (IRL)","1992","Other pigs: 20kg and over",192.2
"3797","West","1992","Other pigs: 20kg and over",33.3
"3798","North West","1992","Other pigs: 20kg and over",213.9
"3799","State","1993","Other pigs: 20kg and over",924.9
"3800","Midlands and East","1993","Other pigs: 20kg and over",110.1
"3801","South-East (IRL)","1993","Other pigs: 20kg and over",229.4
"3802","South-West (IRL)","1993","Other pigs: 20kg and over",258.7
"3803","West","1993","Other pigs: 20kg and over",37
"3804","North West","1993","Other pigs: 20kg and over",289.8
"3805","State","1994","Other pigs: 20kg and over",918.1
"3806","Midlands and East","1994","Other pigs: 20kg and over",117.2
"3807","South-East (IRL)","1994","Other pigs: 20kg and over",221.8
"3808","South-West (IRL)","1994","Other pigs: 20kg and over",251.1
"3809","West","1994","Other pigs: 20kg and over",39.9
"3810","North West","1994","Other pigs: 20kg and over",288
"3811","State","1995","Other pigs: 20kg and over",952.8
"3812","Midlands and East","1995","Other pigs: 20kg and over",156.4
"3813","South-East (IRL)","1995","Other pigs: 20kg and over",233.7
"3814","South-West (IRL)","1995","Other pigs: 20kg and over",249.3
"3815","West","1995","Other pigs: 20kg and over",32
"3816","North West","1995","Other pigs: 20kg and over",281.3
"3817","State","1996","Other pigs: 20kg and over",1004.7
"3818","Midlands and East","1996","Other pigs: 20kg and over",166.5
"3819","South-East (IRL)","1996","Other pigs: 20kg and over",253.8
"3820","South-West (IRL)","1996","Other pigs: 20kg and over",262.4
"3821","West","1996","Other pigs: 20kg and over",39.5
"3822","North West","1996","Other pigs: 20kg and over",282.6
"3823","State","1997","Other pigs: 20kg and over",1061.3
"3824","Midlands and East","1997","Other pigs: 20kg and over",173.1
"3825","South-East (IRL)","1997","Other pigs: 20kg and over",263.8
"3826","South-West (IRL)","1997","Other pigs: 20kg and over",309.6
"3827","West","1997","Other pigs: 20kg and over",44.1
"3828","North West","1997","Other pigs: 20kg and over",270.5
"3829","State","1998","Other pigs: 20kg and over",1149.5
"3830","Midlands and East","1998","Other pigs: 20kg and over",174.3
"3831","South-East (IRL)","1998","Other pigs: 20kg and over",274.5
"3832","South-West (IRL)","1998","Other pigs: 20kg and over",303.5
"3833","West","1998","Other pigs: 20kg and over",41.7
"3834","North West","1998","Other pigs: 20kg and over",355.5
"3835","State","1999","Other pigs: 20kg and over",1101.4
"3836","Midlands and East","1999","Other pigs: 20kg and over",178
"3837","South-East (IRL)","1999","Other pigs: 20kg and over",273.8
"3838","South-West (IRL)","1999","Other pigs: 20kg and over",307.3
"3839","West","1999","Other pigs: 20kg and over",43.7
"3840","North West","1999","Other pigs: 20kg and over",298.5
"3841","State","1980","Other pigs: under 20kg",230
"3842","Midlands and East","1980","Other pigs: under 20kg",33.2
"3843","South-East (IRL)","1980","Other pigs: under 20kg",68.1
"3844","South-West (IRL)","1980","Other pigs: under 20kg",54.7
"3845","West","1980","Other pigs: under 20kg",9.9
"3846","North West","1980","Other pigs: under 20kg",64.2
"3847","State","1981","Other pigs: under 20kg",237.1
"3848","Midlands and East","1981","Other pigs: under 20kg",33.3
"3849","South-East (IRL)","1981","Other pigs: under 20kg",63.4
"3850","South-West (IRL)","1981","Other pigs: under 20kg",57.7
"3851","West","1981","Other pigs: under 20kg",11.7
"3852","North West","1981","Other pigs: under 20kg",71
"3853","State","1982","Other pigs: under 20kg",253.5
"3854","Midlands and East","1982","Other pigs: under 20kg",34.6
"3855","South-East (IRL)","1982","Other pigs: under 20kg",71.6
"3856","South-West (IRL)","1982","Other pigs: under 20kg",60.5
"3857","West","1982","Other pigs: under 20kg",13.2
"3858","North West","1982","Other pigs: under 20kg",73.5
"3859","State","1983","Other pigs: under 20kg",248.1
"3860","Midlands and East","1983","Other pigs: under 20kg",36.6
"3861","South-East (IRL)","1983","Other pigs: under 20kg",65.6
"3862","South-West (IRL)","1983","Other pigs: under 20kg",63.5
"3863","West","1983","Other pigs: under 20kg",11.6
"3864","North West","1983","Other pigs: under 20kg",70.8
"3865","State","1984","Other pigs: under 20kg",233
"3866","Midlands and East","1984","Other pigs: under 20kg",32.8
"3867","South-East (IRL)","1984","Other pigs: under 20kg",63.6
"3868","South-West (IRL)","1984","Other pigs: under 20kg",57.8
"3869","West","1984","Other pigs: under 20kg",11
"3870","North West","1984","Other pigs: under 20kg",67.8
"3871","State","1985","Other pigs: under 20kg",233
"3872","Midlands and East","1985","Other pigs: under 20kg",31.8
"3873","South-East (IRL)","1985","Other pigs: under 20kg",59.6
"3874","South-West (IRL)","1985","Other pigs: under 20kg",56.1
"3875","West","1985","Other pigs: under 20kg",11.4
"3876","North West","1985","Other pigs: under 20kg",74.2
"3877","State","1986","Other pigs: under 20kg",230.5
"3878","Midlands and East","1986","Other pigs: under 20kg",30.7
"3879","South-East (IRL)","1986","Other pigs: under 20kg",61
"3880","South-West (IRL)","1986","Other pigs: under 20kg",58.5
"3881","West","1986","Other pigs: under 20kg",13.1
"3882","North West","1986","Other pigs: under 20kg",67.2
"3883","State","1987","Other pigs: under 20kg",226.4
"3884","Midlands and East","1987","Other pigs: under 20kg",29.7
"3885","South-East (IRL)","1987","Other pigs: under 20kg",59.8
"3886","South-West (IRL)","1987","Other pigs: under 20kg",55.3
"3887","West","1987","Other pigs: under 20kg",13.4
"3888","North West","1987","Other pigs: under 20kg",68.3
"3889","State","1988","Other pigs: under 20kg",240.8
"3890","Midlands and East","1988","Other pigs: under 20kg",31.3
"3891","South-East (IRL)","1988","Other pigs: under 20kg",69.3
"3892","South-West (IRL)","1988","Other pigs: under 20kg",54.8
"3893","West","1988","Other pigs: under 20kg",13.7
"3894","North West","1988","Other pigs: under 20kg",71.6
"3895","State","1989","Other pigs: under 20kg",265.4
"3896","Midlands and East","1989","Other pigs: under 20kg",37.2
"3897","South-East (IRL)","1989","Other pigs: under 20kg",72.4
"3898","South-West (IRL)","1989","Other pigs: under 20kg",66.3
"3899","West","1989","Other pigs: under 20kg",14
"3900","North West","1989","Other pigs: under 20kg",75.5
"3901","State","1990","Other pigs: under 20kg",304.4
"3902","Midlands and East","1990","Other pigs: under 20kg",56.1
"3903","South-East (IRL)","1990","Other pigs: under 20kg",76
"3904","South-West (IRL)","1990","Other pigs: under 20kg",73.6
"3905","West","1990","Other pigs: under 20kg",16.7
"3906","North West","1990","Other pigs: under 20kg",82
"3907","State","1991","Other pigs: under 20kg",351
"3908","Midlands and East","1991","Other pigs: under 20kg",75.5
"3909","South-East (IRL)","1991","Other pigs: under 20kg",88.6
"3910","South-West (IRL)","1991","Other pigs: under 20kg",78.8
"3911","West","1991","Other pigs: under 20kg",19.5
"3912","North West","1991","Other pigs: under 20kg",88.6
"3913","State","1992","Other pigs: under 20kg",386.3
"3914","Midlands and East","1992","Other pigs: under 20kg",79.7
"3915","South-East (IRL)","1992","Other pigs: under 20kg",98.8
"3916","South-West (IRL)","1992","Other pigs: under 20kg",84.9
"3917","West","1992","Other pigs: under 20kg",27.9
"3918","North West","1992","Other pigs: under 20kg",94.9
"3919","State","1993","Other pigs: under 20kg",417
"3920","Midlands and East","1993","Other pigs: under 20kg",60.6
"3921","South-East (IRL)","1993","Other pigs: under 20kg",101.1
"3922","South-West (IRL)","1993","Other pigs: under 20kg",98.8
"3923","West","1993","Other pigs: under 20kg",18.9
"3924","North West","1993","Other pigs: under 20kg",137.6
"3925","State","1994","Other pigs: under 20kg",436.5
"3926","Midlands and East","1994","Other pigs: under 20kg",70.2
"3927","South-East (IRL)","1994","Other pigs: under 20kg",101.7
"3928","South-West (IRL)","1994","Other pigs: under 20kg",101.4
"3929","West","1994","Other pigs: under 20kg",20.6
"3930","North West","1994","Other pigs: under 20kg",142.6
"3931","State","1995","Other pigs: under 20kg",422.9
"3932","Midlands and East","1995","Other pigs: under 20kg",73.6
"3933","South-East (IRL)","1995","Other pigs: under 20kg",101.9
"3934","South-West (IRL)","1995","Other pigs: under 20kg",99.9
"3935","West","1995","Other pigs: under 20kg",15.1
"3936","North West","1995","Other pigs: under 20kg",132.4
"3937","State","1996","Other pigs: under 20kg",432.8
"3938","Midlands and East","1996","Other pigs: under 20kg",77.3
"3939","South-East (IRL)","1996","Other pigs: under 20kg",107.2
"3940","South-West (IRL)","1996","Other pigs: under 20kg",105.4
"3941","West","1996","Other pigs: under 20kg",19.9
"3942","North West","1996","Other pigs: under 20kg",122.9
"3943","State","1997","Other pigs: under 20kg",446.5
"3944","Midlands and East","1997","Other pigs: under 20kg",77.1
"3945","South-East (IRL)","1997","Other pigs: under 20kg",112.9
"3946","South-West (IRL)","1997","Other pigs: under 20kg",113.4
"3947","West","1997","Other pigs: under 20kg",23
"3948","North West","1997","Other pigs: under 20kg",120.1
"3949","State","1998","Other pigs: under 20kg",469.2
"3950","Midlands and East","1998","Other pigs: under 20kg",77.3
"3951","South-East (IRL)","1998","Other pigs: under 20kg",115.6
"3952","South-West (IRL)","1998","Other pigs: under 20kg",127.4
"3953","West","1998","Other pigs: under 20kg",21
"3954","North West","1998","Other pigs: under 20kg",128
"3955","State","1999","Other pigs: under 20kg",492.8
"3956","Midlands and East","1999","Other pigs: under 20kg",83.6
"3957","South-East (IRL)","1999","Other pigs: under 20kg",117.7
"3958","South-West (IRL)","1999","Other pigs: under 20kg",123
"3959","West","1999","Other pigs: under 20kg",22.9
"3960","North West","1999","Other pigs: under 20kg",145.7
"3961","State","1980","Total poultry",9903.3
"3962","Midlands and East","1980","Total poultry",1282.8
"3963","South-East (IRL)","1980","Total poultry",1507.1
"3964","South-West (IRL)","1980","Total poultry",2731
"3965","West","1980","Total poultry",637.2
"3966","North West","1980","Total poultry",3745.1
"3967","State","1981","Total poultry",9573.4
"3968","Midlands and East","1981","Total poultry",1154.4
"3969","South-East (IRL)","1981","Total poultry",1473.8
"3970","South-West (IRL)","1981","Total poultry",2488.9
"3971","West","1981","Total poultry",573.5
"3972","North West","1981","Total poultry",3882.8
"3973","State","1982","Total poultry",9657.8
"3974","Midlands and East","1982","Total poultry",1143.8
"3975","South-East (IRL)","1982","Total poultry",1529.9
"3976","South-West (IRL)","1982","Total poultry",2481.2
"3977","West","1982","Total poultry",542.3
"3978","North West","1982","Total poultry",3960.5
"3979","State","1983","Total poultry",9376.4
"3980","Midlands and East","1983","Total poultry",973.3
"3981","South-East (IRL)","1983","Total poultry",1577.4
"3982","South-West (IRL)","1983","Total poultry",2325.3
"3983","West","1983","Total poultry",515.4
"3984","North West","1983","Total poultry",3985
"3985","State","1984","Total poultry",9338.9
"3986","Midlands and East","1984","Total poultry",928.1
"3987","South-East (IRL)","1984","Total poultry",1438.4
"3988","South-West (IRL)","1984","Total poultry",2408.6
"3989","West","1984","Total poultry",522.9
"3990","North West","1984","Total poultry",4041
"3991","State","1985","Total poultry",9582
"3992","Midlands and East","1985","Total poultry",950.4
"3993","South-East (IRL)","1985","Total poultry",1396.7
"3994","South-West (IRL)","1985","Total poultry",2414.5
"3995","West","1985","Total poultry",532.7
"3996","North West","1985","Total poultry",4287.8
"3997","State","1986","Total poultry",9686.8
"3998","Midlands and East","1986","Total poultry",936.5
"3999","South-East (IRL)","1986","Total poultry",1237.9
"4000","South-West (IRL)","1986","Total poultry",2418.9
"4001","West","1986","Total poultry",494.7
"4002","North West","1986","Total poultry",4598.7
"4003","State","1987","Total poultry",9822.6
"4004","Midlands and East","1987","Total poultry",816.7
"4005","South-East (IRL)","1987","Total poultry",1255.7
"4006","South-West (IRL)","1987","Total poultry",2384.8
"4007","West","1987","Total poultry",530.8
"4008","North West","1987","Total poultry",4834.5
"4009","State","1988","Total poultry",10041.5
"4010","Midlands and East","1988","Total poultry",854.7
"4011","South-East (IRL)","1988","Total poultry",1298.2
"4012","South-West (IRL)","1988","Total poultry",2296.8
"4013","West","1988","Total poultry",505.8
"4014","North West","1988","Total poultry",5086
"4015","State","1989","Total poultry",10378.9
"4016","Midlands and East","1989","Total poultry",854.4
"4017","South-East (IRL)","1989","Total poultry",1250.6
"4018","South-West (IRL)","1989","Total poultry",2191
"4019","West","1989","Total poultry",513.7
"4020","North West","1989","Total poultry",5569.2
"4021","State","1990","Total poultry",11335.4
"4022","Midlands and East","1990","Total poultry",906.6
"4023","South-East (IRL)","1990","Total poultry",1328.5
"4024","South-West (IRL)","1990","Total poultry",2265.3
"4025","West","1990","Total poultry",613
"4026","North West","1990","Total poultry",6222
"4027","State","1991","Total poultry",12052.8
"4028","Midlands and East","1991","Total poultry",960.4
"4029","South-East (IRL)","1991","Total poultry",1399.3
"4030","South-West (IRL)","1991","Total poultry",2301.4
"4031","West","1991","Total poultry",636.5
"4032","North West","1991","Total poultry",6755.3
"4033","State","1992","Total poultry",12039.2
"4034","Midlands and East","1992","Total poultry",942.9
"4035","South-East (IRL)","1992","Total poultry",1321.5
"4036","South-West (IRL)","1992","Total poultry",2178.5
"4037","West","1992","Total poultry",597.4
"4038","North West","1992","Total poultry",6998.9
"4039","State","1993","Total poultry",12900
"4040","Midlands and East","1993","Total poultry",1036.2
"4041","South-East (IRL)","1993","Total poultry",1638.6
"4042","South-West (IRL)","1993","Total poultry",2780.8
"4043","West","1993","Total poultry",736.8
"4044","North West","1993","Total poultry",6707.4
"4045","State","1994","Total poultry",14615.8
"4046","Midlands and East","1994","Total poultry",1231.7
"4047","South-East (IRL)","1994","Total poultry",1750
"4048","South-West (IRL)","1994","Total poultry",3065
"4049","West","1994","Total poultry",740.8
"4050","North West","1994","Total poultry",7828.4
"4051","State","1995","Total poultry",13248.4
"4052","Midlands and East","1995","Total poultry",1197.6
"4053","South-East (IRL)","1995","Total poultry",1547.3
"4054","South-West (IRL)","1995","Total poultry",2754.3
"4055","West","1995","Total poultry",583.4
"4056","North West","1995","Total poultry",7165.9
"4057","State","1996","Total poultry",13170.5
"4058","Midlands and East","1996","Total poultry",1091.6
"4059","South-East (IRL)","1996","Total poultry",1621.8
"4060","South-West (IRL)","1996","Total poultry",2863.6
"4061","West","1996","Total poultry",626.3
"4062","North West","1996","Total poultry",6967.2
"4063","State","1997","Total poultry",13432.5
"4064","Midlands and East","1997","Total poultry",960.6
"4065","South-East (IRL)","1997","Total poultry",1526.3
"4066","South-West (IRL)","1997","Total poultry",3194.8
"4067","West","1997","Total poultry",493
"4068","North West","1997","Total poultry",7257.8
"4069","State","1998","Total poultry",13146.9
"4070","Midlands and East","1998","Total poultry",1144.8
"4071","South-East (IRL)","1998","Total poultry",1458.6
"4072","South-West (IRL)","1998","Total poultry",2939.3
"4073","West","1998","Total poultry",583.5
"4074","North West","1998","Total poultry",7020.6
"4075","State","1999","Total poultry",12697.4
"4076","Midlands and East","1999","Total poultry",1093.1
"4077","South-East (IRL)","1999","Total poultry",1279
"4078","South-West (IRL)","1999","Total poultry",2812
"4079","West","1999","Total poultry",582
"4080","North West","1999","Total poultry",6931.3
"4081","State","1980","Ordinary fowl",9029.9
"4082","Midlands and East","1980","Ordinary fowl",1113.1
"4083","South-East (IRL)","1980","Ordinary fowl",1371.1
"4084","South-West (IRL)","1980","Ordinary fowl",2517.3
"4085","West","1980","Ordinary fowl",557.8
"4086","North West","1980","Ordinary fowl",3470.5
"4087","State","1981","Ordinary fowl",8775.3
"4088","Midlands and East","1981","Ordinary fowl",1023.7
"4089","South-East (IRL)","1981","Ordinary fowl",1368.8
"4090","South-West (IRL)","1981","Ordinary fowl",2313.9
"4091","West","1981","Ordinary fowl",510.1
"4092","North West","1981","Ordinary fowl",3558.8
"4093","State","1982","Ordinary fowl",8831
"4094","Midlands and East","1982","Ordinary fowl",1020.4
"4095","South-East (IRL)","1982","Ordinary fowl",1420.5
"4096","South-West (IRL)","1982","Ordinary fowl",2330.2
"4097","West","1982","Ordinary fowl",483.6
"4098","North West","1982","Ordinary fowl",3576.4
"4099","State","1983","Ordinary fowl",8602
"4100","Midlands and East","1983","Ordinary fowl",883.3
"4101","South-East (IRL)","1983","Ordinary fowl",1474.1
"4102","South-West (IRL)","1983","Ordinary fowl",2186.5
"4103","West","1983","Ordinary fowl",466.1
"4104","North West","1983","Ordinary fowl",3591.9
"4105","State","1984","Ordinary fowl",8687.9
"4106","Midlands and East","1984","Ordinary fowl",851.5
"4107","South-East (IRL)","1984","Ordinary fowl",1338.3
"4108","South-West (IRL)","1984","Ordinary fowl",2282.6
"4109","West","1984","Ordinary fowl",474.1
"4110","North West","1984","Ordinary fowl",3741.4
"4111","State","1985","Ordinary fowl",8918.2
"4112","Midlands and East","1985","Ordinary fowl",885.5
"4113","South-East (IRL)","1985","Ordinary fowl",1298.5
"4114","South-West (IRL)","1985","Ordinary fowl",2299
"4115","West","1985","Ordinary fowl",491.5
"4116","North West","1985","Ordinary fowl",3943.7
"4117","State","1986","Ordinary fowl",8982.2
"4118","Midlands and East","1986","Ordinary fowl",884.1
"4119","South-East (IRL)","1986","Ordinary fowl",1147.3
"4120","South-West (IRL)","1986","Ordinary fowl",2322.7
"4121","West","1986","Ordinary fowl",456.5
"4122","North West","1986","Ordinary fowl",4171.5
"4123","State","1987","Ordinary fowl",9030.4
"4124","Midlands and East","1987","Ordinary fowl",779.6
"4125","South-East (IRL)","1987","Ordinary fowl",1171.6
"4126","South-West (IRL)","1987","Ordinary fowl",2295.8
"4127","West","1987","Ordinary fowl",498.5
"4128","North West","1987","Ordinary fowl",4284.9
"4129","State","1988","Ordinary fowl",9174.1
"4130","Midlands and East","1988","Ordinary fowl",817.8
"4131","South-East (IRL)","1988","Ordinary fowl",1223.8
"4132","South-West (IRL)","1988","Ordinary fowl",2211.8
"4133","West","1988","Ordinary fowl",477.4
"4134","North West","1988","Ordinary fowl",4443.3
"4135","State","1989","Ordinary fowl",9463.9
"4136","Midlands and East","1989","Ordinary fowl",823.6
"4137","South-East (IRL)","1989","Ordinary fowl",1185.5
"4138","South-West (IRL)","1989","Ordinary fowl",2120.1
"4139","West","1989","Ordinary fowl",489.6
"4140","North West","1989","Ordinary fowl",4845.1
"4141","State","1990","Ordinary fowl",10279.3
"4142","Midlands and East","1990","Ordinary fowl",870.7
"4143","South-East (IRL)","1990","Ordinary fowl",1253.3
"4144","South-West (IRL)","1990","Ordinary fowl",2180
"4145","West","1990","Ordinary fowl",589.9
"4146","North West","1990","Ordinary fowl",5385.3
"4147","State","1991","Ordinary fowl",10853.6
"4148","Midlands and East","1991","Ordinary fowl",924.6
"4149","South-East (IRL)","1991","Ordinary fowl",1316
"4150","South-West (IRL)","1991","Ordinary fowl",2219.6
"4151","West","1991","Ordinary fowl",613.9
"4152","North West","1991","Ordinary fowl",5779.5
"4153","State","1992","Ordinary fowl",10830
"4154","Midlands and East","1992","Ordinary fowl",908
"4155","South-East (IRL)","1992","Ordinary fowl",1240.8
"4156","South-West (IRL)","1992","Ordinary fowl",2096.3
"4157","West","1992","Ordinary fowl",572.2
"4158","North West","1992","Ordinary fowl",6012.8
"4159","State","1993","Ordinary fowl",11630.8
"4160","Midlands and East","1993","Ordinary fowl",885.9
"4161","South-East (IRL)","1993","Ordinary fowl",1538.8
"4162","South-West (IRL)","1993","Ordinary fowl",2674.6
"4163","West","1993","Ordinary fowl",720.8
"4164","North West","1993","Ordinary fowl",5810.7
"4165","State","1994","Ordinary fowl",12410.7
"4166","Midlands and East","1994","Ordinary fowl",1002
