"","Year","Type.of.Livestock","Rural.District","value"
"53894","1970","Other cows","Connacht",NA
"53895","1975","Other cows","Connacht",195901
"53896","1980","Other cows","Connacht",158643
"53897","1926","Cows : friesian and friesian cross","Connacht",NA
"53898","1933","Cows : friesian and friesian cross","Connacht",NA
"53899","1955","Cows : friesian and friesian cross","Connacht",NA
"53900","1960","Cows : friesian and friesian cross","Connacht",1804
"53901","1965","Cows : friesian and friesian cross","Connacht",10927
"53902","1970","Cows : friesian and friesian cross","Connacht",49303
"53903","1975","Cows : friesian and friesian cross","Connacht",112359
"53904","1980","Cows : friesian and friesian cross","Connacht",161138
"53905","1926","Cows : shorthorn","Connacht",NA
"53906","1933","Cows : shorthorn","Connacht",NA
"53907","1955","Cows : shorthorn","Connacht",NA
"53908","1960","Cows : shorthorn","Connacht",131557
"53909","1965","Cows : shorthorn","Connacht",157184
"53910","1970","Cows : shorthorn","Connacht",140618
"53911","1975","Cows : shorthorn","Connacht",110594
"53912","1980","Cows : shorthorn","Connacht",61423
"53913","1926","Cows : other breeds","Connacht",NA
"53914","1933","Cows : other breeds","Connacht",NA
"53915","1955","Cows : other breeds","Connacht",NA
"53916","1960","Cows : other breeds","Connacht",81984
"53917","1965","Cows : other breeds","Connacht",90501
"53918","1970","Cows : other breeds","Connacht",91519
"53919","1975","Cows : other breeds","Connacht",136513
"53920","1980","Cows : other breeds","Connacht",93108
"53921","1926","Heifers in calf","Connacht",15520
"53922","1933","Heifers in calf","Connacht",10617
"53923","1955","Heifers in calf","Connacht",13259
"53924","1960","Heifers in calf","Connacht",19476
"53925","1965","Heifers in calf","Connacht",27666
"53926","1970","Heifers in calf","Connacht",29225
"53927","1975","Heifers in calf","Connacht",31254
"53928","1980","Heifers in calf","Connacht",28201
"53929","1926","Dairy heifers","Connacht",NA
"53930","1933","Dairy heifers","Connacht",NA
"53931","1955","Dairy heifers","Connacht",NA
"53932","1960","Dairy heifers","Connacht",NA
"53933","1965","Dairy heifers","Connacht",NA
"53934","1970","Dairy heifers","Connacht",NA
"53935","1975","Dairy heifers","Connacht",NA
"53936","1980","Dairy heifers","Connacht",16090
"53937","1926","Other heifers","Connacht",NA
"53938","1933","Other heifers","Connacht",NA
"53939","1955","Other heifers","Connacht",NA
"53940","1960","Other heifers","Connacht",NA
"53941","1965","Other heifers","Connacht",NA
"53942","1970","Other heifers","Connacht",NA
"53943","1975","Other heifers","Connacht",NA
"53944","1980","Other heifers","Connacht",12111
"53945","1926","Other cattle","Connacht",498572
"53946","1933","Other cattle","Connacht",520096
"53947","1955","Other cattle","Connacht",658140
"53948","1960","Other cattle","Connacht",682845
"53949","1965","Other cattle","Connacht",733920
"53950","1970","Other cattle","Connacht",836388
"53951","1975","Other cattle","Connacht",1008088
"53952","1980","Other cattle","Connacht",1028157
"53953","1926","Other cattle : 3 years and over","Connacht",43111
"53954","1933","Other cattle : 3 years and over","Connacht",28195
"53955","1955","Other cattle : 3 years and over","Connacht",50385
"53956","1960","Other cattle : 3 years and over","Connacht",42724
"53957","1965","Other cattle : 3 years and over","Connacht",33922
"53958","1970","Other cattle : 3 years and over","Connacht",33006
"53959","1975","Other cattle : 3 years and over","Connacht",38986
"53960","1980","Other cattle : 3 years and over","Connacht",45183
"53961","1926","Other cattle : 3 years and over male","Connacht",NA
"53962","1933","Other cattle : 3 years and over male","Connacht",NA
"53963","1955","Other cattle : 3 years and over male","Connacht",NA
"53964","1960","Other cattle : 3 years and over male","Connacht",NA
"53965","1965","Other cattle : 3 years and over male","Connacht",NA
"53966","1970","Other cattle : 3 years and over male","Connacht",23918
"53967","1975","Other cattle : 3 years and over male","Connacht",27355
"53968","1980","Other cattle : 3 years and over male","Connacht",33456
"53969","1926","Other cattle : 3 years and over female","Connacht",NA
"53970","1933","Other cattle : 3 years and over female","Connacht",NA
"53971","1955","Other cattle : 3 years and over female","Connacht",NA
"53972","1960","Other cattle : 3 years and over female","Connacht",NA
"53973","1965","Other cattle : 3 years and over female","Connacht",NA
"53974","1970","Other cattle : 3 years and over female","Connacht",9088
"53975","1975","Other cattle : 3 years and over female","Connacht",11631
"53976","1980","Other cattle : 3 years and over female","Connacht",11727
"53977","1926","Other cattle : 2 - 3 years","Connacht",122879
"53978","1933","Other cattle : 2 - 3 years","Connacht",107243
"53979","1955","Other cattle : 2 - 3 years","Connacht",169958
"53980","1960","Other cattle : 2 - 3 years","Connacht",172475
"53981","1965","Other cattle : 2 - 3 years","Connacht",161813
"53982","1970","Other cattle : 2 - 3 years","Connacht",189938
"53983","1975","Other cattle : 2 - 3 years","Connacht",229500
"53984","1980","Other cattle : 2 - 3 years","Connacht",246878
"53985","1926","Other cattle : 2 - 3 years male","Connacht",NA
"53986","1933","Other cattle : 2 - 3 years male","Connacht",NA
"53987","1955","Other cattle : 2 - 3 years male","Connacht",NA
"53988","1960","Other cattle : 2 - 3 years male","Connacht",NA
"53989","1965","Other cattle : 2 - 3 years male","Connacht",NA
"53990","1970","Other cattle : 2 - 3 years male","Connacht",124862
"53991","1975","Other cattle : 2 - 3 years male","Connacht",148890
"53992","1980","Other cattle : 2 - 3 years male","Connacht",169845
"53993","1926","Other cattle : 2 - 3 years female","Connacht",NA
"53994","1933","Other cattle : 2 - 3 years female","Connacht",NA
"53995","1955","Other cattle : 2 - 3 years female","Connacht",NA
"53996","1960","Other cattle : 2 - 3 years female","Connacht",NA
"53997","1965","Other cattle : 2 - 3 years female","Connacht",NA
"53998","1970","Other cattle : 2 - 3 years female","Connacht",65076
"53999","1975","Other cattle : 2 - 3 years female","Connacht",80610
"54000","1980","Other cattle : 2 - 3 years female","Connacht",77033
"54001","1926","Other cattle : 1 - 2 years","Connacht",156254
"54002","1933","Other cattle : 1 - 2 years","Connacht",187388
"54003","1955","Other cattle : 1 - 2 years","Connacht",229993
"54004","1960","Other cattle : 1 - 2 years","Connacht",242876
"54005","1965","Other cattle : 1 - 2 years","Connacht",270587
"54006","1970","Other cattle : 1 - 2 years","Connacht",308867
"54007","1975","Other cattle : 1 - 2 years","Connacht",382635
"54008","1980","Other cattle : 1 - 2 years","Connacht",382789
"54009","1926","Other cattle : 1 - 2 years male","Connacht",NA
"54010","1933","Other cattle : 1 - 2 years male","Connacht",NA
"54011","1955","Other cattle : 1 - 2 years male","Connacht",NA
"54012","1960","Other cattle : 1 - 2 years male","Connacht",NA
"54013","1965","Other cattle : 1 - 2 years male","Connacht",NA
"54014","1970","Other cattle : 1 - 2 years male","Connacht",183584
"54015","1975","Other cattle : 1 - 2 years male","Connacht",225561
"54016","1980","Other cattle : 1 - 2 years male","Connacht",242445
"54017","1926","Other cattle : 1 - 2 years female","Connacht",NA
"54018","1933","Other cattle : 1 - 2 years female","Connacht",NA
"54019","1955","Other cattle : 1 - 2 years female","Connacht",NA
"54020","1960","Other cattle : 1 - 2 years female","Connacht",NA
"54021","1965","Other cattle : 1 - 2 years female","Connacht",NA
"54022","1970","Other cattle : 1 - 2 years female","Connacht",125283
"54023","1975","Other cattle : 1 - 2 years female","Connacht",157074
"54024","1980","Other cattle : 1 - 2 years female","Connacht",140344
"54025","1926","Other cattle : less than 1","Connacht",176328
"54026","1933","Other cattle : less than 1","Connacht",197270
"54027","1955","Other cattle : less than 1","Connacht",207804
"54028","1960","Other cattle : less than 1","Connacht",224770
"54029","1965","Other cattle : less than 1","Connacht",267598
"54030","1970","Other cattle : less than 1","Connacht",304577
"54031","1975","Other cattle : less than 1","Connacht",356967
"54032","1980","Other cattle : less than 1","Connacht",353307
"54033","1926","Other cattle : less than 1 male","Connacht",NA
"54034","1933","Other cattle : less than 1 male","Connacht",NA
"54035","1955","Other cattle : less than 1 male","Connacht",NA
"54036","1960","Other cattle : less than 1 male","Connacht",NA
"54037","1965","Other cattle : less than 1 male","Connacht",NA
"54038","1970","Other cattle : less than 1 male","Connacht",167157
"54039","1975","Other cattle : less than 1 male","Connacht",197691
"54040","1980","Other cattle : less than 1 male","Connacht",205869
"54041","1926","Other cattle : less than 1 female","Connacht",NA
"54042","1933","Other cattle : less than 1 female","Connacht",NA
"54043","1955","Other cattle : less than 1 female","Connacht",NA
"54044","1960","Other cattle : less than 1 female","Connacht",NA
"54045","1965","Other cattle : less than 1 female","Connacht",NA
"54046","1970","Other cattle : less than 1 female","Connacht",137420
"54047","1975","Other cattle : less than 1 female","Connacht",159276
"54048","1980","Other cattle : less than 1 female","Connacht",147438
"54049","1926","Sheep","Connacht",1030126
"54050","1933","Sheep","Connacht",1184755
"54051","1955","Sheep","Connacht",1261681
"54052","1960","Sheep","Connacht",1587219
"54053","1965","Sheep","Connacht",1641133
"54054","1970","Sheep","Connacht",1496419
"54055","1975","Sheep","Connacht",1332365
"54056","1980","Sheep","Connacht",1155808
"54057","1926","Sheep for breeding","Connacht",445442
"54058","1933","Sheep for breeding","Connacht",506278
"54059","1955","Sheep for breeding","Connacht",510463
"54060","1960","Sheep for breeding","Connacht",654634
"54061","1965","Sheep for breeding","Connacht",699646
"54062","1970","Sheep for breeding","Connacht",654933
"54063","1975","Sheep for breeding","Connacht",590976
"54064","1980","Sheep for breeding","Connacht",531701
"54065","1926","Rams for breeding","Connacht",17853
"54066","1933","Rams for breeding","Connacht",18500
"54067","1955","Rams for breeding","Connacht",17474
"54068","1960","Rams for breeding","Connacht",19638
"54069","1965","Rams for breeding","Connacht",20798
"54070","1970","Rams for breeding","Connacht",17550
"54071","1975","Rams for breeding","Connacht",14818
"54072","1980","Rams for breeding","Connacht",13333
"54073","1926","Ewes for breeding","Connacht",427589
"54074","1933","Ewes for breeding","Connacht",487778
"54075","1955","Ewes for breeding","Connacht",492989
"54076","1960","Ewes for breeding","Connacht",634996
"54077","1965","Ewes for breeding","Connacht",678848
"54078","1970","Ewes for breeding","Connacht",637383
"54079","1975","Ewes for breeding","Connacht",576158
"54080","1980","Ewes for breeding","Connacht",518368
"54081","1926","Ewes : cheviot type","Connacht",NA
"54082","1933","Ewes : cheviot type","Connacht",NA
"54083","1955","Ewes : cheviot type","Connacht",NA
"54084","1960","Ewes : cheviot type","Connacht",NA
"54085","1965","Ewes : cheviot type","Connacht",13143
"54086","1970","Ewes : cheviot type","Connacht",15122
"54087","1975","Ewes : cheviot type","Connacht",26719
"54088","1980","Ewes : cheviot type","Connacht",32998
"54089","1926","Ewes : blackface moutain type","Connacht",NA
"54090","1933","Ewes : blackface moutain type","Connacht",NA
"54091","1955","Ewes : blackface moutain type","Connacht",NA
"54092","1960","Ewes : blackface moutain type","Connacht",NA
"54093","1965","Ewes : blackface moutain type","Connacht",140762
"54094","1970","Ewes : blackface moutain type","Connacht",148012
"54095","1975","Ewes : blackface moutain type","Connacht",152609
"54096","1980","Ewes : blackface moutain type","Connacht",164364
"54097","1926","Ewes : long woolled galway type","Connacht",NA
"54098","1933","Ewes : long woolled galway type","Connacht",NA
"54099","1955","Ewes : long woolled galway type","Connacht",NA
"54100","1960","Ewes : long woolled galway type","Connacht",NA
"54101","1965","Ewes : long woolled galway type","Connacht",482422
"54102","1970","Ewes : long woolled galway type","Connacht",450123
"54103","1975","Ewes : long woolled galway type","Connacht",372322
"54104","1980","Ewes : long woolled galway type","Connacht",271129
"54105","1926","Ewes : other breeds","Connacht",NA
"54106","1933","Ewes : other breeds","Connacht",NA
"54107","1955","Ewes : other breeds","Connacht",NA
"54108","1960","Ewes : other breeds","Connacht",NA
"54109","1965","Ewes : other breeds","Connacht",42521
"54110","1970","Ewes : other breeds","Connacht",24126
"54111","1975","Ewes : other breeds","Connacht",24508
"54112","1980","Ewes : other breeds","Connacht",49877
"54113","1926","Other sheep","Connacht",584684
"54114","1933","Other sheep","Connacht",678477
"54115","1955","Other sheep","Connacht",751218
"54116","1960","Other sheep","Connacht",932585
"54117","1965","Other sheep","Connacht",941487
"54118","1970","Other sheep","Connacht",841486
"54119","1975","Other sheep","Connacht",741389
"54120","1980","Other sheep","Connacht",624107
"54121","1926","Other sheep : one year and over","Connacht",190736
"54122","1933","Other sheep : one year and over","Connacht",208946
"54123","1955","Other sheep : one year and over","Connacht",228800
"54124","1960","Other sheep : one year and over","Connacht",274228
"54125","1965","Other sheep : one year and over","Connacht",230523
"54126","1970","Other sheep : one year and over","Connacht",177857
"54127","1975","Other sheep : one year and over","Connacht",140067
"54128","1980","Other sheep : one year and over","Connacht",99803
"54129","1926","Other sheep : less than one year","Connacht",393948
"54130","1933","Other sheep : less than one year","Connacht",469531
"54131","1955","Other sheep : less than one year","Connacht",522418
"54132","1960","Other sheep : less than one year","Connacht",658357
"54133","1965","Other sheep : less than one year","Connacht",710964
"54134","1970","Other sheep : less than one year","Connacht",663629
"54135","1975","Other sheep : less than one year","Connacht",601322
"54136","1980","Other sheep : less than one year","Connacht",524304
"54137","1926","Pigs","Connacht",154106
"54138","1933","Pigs","Connacht",167110
"54139","1955","Pigs","Connacht",87690
"54140","1960","Pigs","Connacht",89017
"54141","1965","Pigs","Connacht",136497
"54142","1970","Pigs","Connacht",150671
"54143","1975","Pigs","Connacht",72984
"54144","1980","Pigs","Connacht",59547
"54145","1926","Pigs for breeding","Connacht",13371
"54146","1933","Pigs for breeding","Connacht",15202
"54147","1955","Pigs for breeding","Connacht",6815
"54148","1960","Pigs for breeding","Connacht",7973
"54149","1965","Pigs for breeding","Connacht",12920
"54150","1970","Pigs for breeding","Connacht",15543
"54151","1975","Pigs for breeding","Connacht",7979
"54152","1980","Pigs for breeding","Connacht",7879
"54153","1926","Boars for breeding","Connacht",286
"54154","1933","Boars for breeding","Connacht",305
"54155","1955","Boars for breeding","Connacht",182
"54156","1960","Boars for breeding","Connacht",223
"54157","1965","Boars for breeding","Connacht",371
"54158","1970","Boars for breeding","Connacht",262
"54159","1975","Boars for breeding","Connacht",185
"54160","1980","Boars for breeding","Connacht",312
"54161","1926","Sows for breeding","Connacht",13085
"54162","1933","Sows for breeding","Connacht",14897
"54163","1955","Sows for breeding","Connacht",6633
"54164","1960","Sows for breeding","Connacht",7750
"54165","1965","Sows for breeding","Connacht",12549
"54166","1970","Sows for breeding","Connacht",15281
"54167","1975","Sows for breeding","Connacht",7794
"54168","1980","Sows for breeding","Connacht",7567
"54169","1926","Other pigs","Connacht",140735
"54170","1933","Other pigs","Connacht",151908
"54171","1955","Other pigs","Connacht",80875
"54172","1960","Other pigs","Connacht",81044
"54173","1965","Other pigs","Connacht",123577
"54174","1970","Other pigs","Connacht",135128
"54175","1975","Other pigs","Connacht",65005
